FIELD,TYPE,DESCRIPTION
HSHLDINCOME_20K_30K,Number,"HSHLDINCOME_20K_30K: Household total income in 2010 of private households - $20,000 to $29,999 (count). e.g., 1630"
HSHLDINCOME_30K_40K,Number,"HSHLDINCOME_30K_40K: Household total income in 2010 of private households - $30,000 to $39,999 (count). e.g., 1460"
HSHLDINCOME_40K_50K,Number,"HSHLDINCOME_40K_50K: Household total income in 2010 of private households - $40,000 to $49,999 (count). e.g., 1710"
HSHLDINCOME_50K_60K,Number,"HSHLDINCOME_50K_60K: Household total income in 2010 of private households - $50,000 to $59,999 (count). e.g., 1640"
HSHLDINCOME_60K_70K,Number,"HSHLDINCOME_60K_70K: Household total income in 2010 of private households - $60,000 to $79,999 (count). e.g., 2850"
HSHLDINCOME_80K_90K,Number,"HSHLDINCOME_80K_90K: Household total income in 2010 of private households - $80,000 to $99,999 (count). e.g., 1850"
HSHLDINCOME_100K_125K,Number,"HSHLDINCOME_100K_125K: Household total income in 2010 of private households - $100,000 to $124,999 (count). e.g., 1375"
HSHLDINCOME_125K_150K,Number,"HSHLDINCOME_125K_150K: Household total income in 2010 of private households - $125,000 to $149,999 (count). e.g., 455"
HSHLDINCOME_150KPLUS,Number,"HSHLDINCOME_150KPLUS: Household total income in 2010 of private households - $150,000 and over (count). e.g., 445"
WRKFRC_ED_U12,Number,"WRKFRC_ED_U12: Education (25-64) - No certificate, diploma or degree. e.g., 4855"
WRKFRC_ED_12,Number,"WRKFRC_ED_12: Education (25-64) - High school diploma or equivalent. e.g., 6780"
WRKFRC_ED_ASSCDEG,Number,"WRKFRC_ED_ASSCDEG: Education (25-64) - Apprenticeship or trades certificate or diploma; Apprenticeship or trades certificate or diploma; University certificate or diploma below bachelor level; . e.g., 4385"
WRKFRC_ED_COLLEGEGRAD_GT16YRS,Number,"WRKFRC_ED_COLLEGEGRAD_GT16YRS: Education (25-64) - University certificate, diploma or degree above bachelor level. e.g., 1135"
WRKFRC_ED_COLLEGEGRAD_16YRS,Number,"WRKFRC_ED_COLLEGEGRAD_16YRS: Education (25-64) - Bachelor's degree. e.g., 2305"
INDUSTRY_AGRICULTURE,Number,"INDUSTRY_AGRICULTURE: Industry - 11 Agriculture, forestry, fishing and hunting. e.g., 150"
INDUSTRY_MINING,Number,"INDUSTRY_MINING: Industry - 21 Mining, quarrying, and oil and gas extraction. e.g., 325"
INDUSTRY_UTILITIES,Number,"INDUSTRY_UTILITIES: Industry - 22 Utilities. e.g., 45"
INDUSTRY_CONSTRUCTION,Number,"INDUSTRY_CONSTRUCTION: Industry - 23 Construction. e.g., 615"
INDUSTRY_MANUFACTURING,Number,"INDUSTRY_MANUFACTURING: Industry - 31-33 Manufacturing. e.g., 445"
INDUSTRY_WHOLESALE,Number,"INDUSTRY_WHOLESALE: Industry - 41 Wholesale trade. e.g., 280"
INDUSTRY_RETAIL,Number,"INDUSTRY_RETAIL: Industry - 44-45 Retail trade. e.g., 1605"
INDUSTRY_TRANSPORT,Number,"INDUSTRY_TRANSPORT: Industry - 48-49 Transportation and warehousing. e.g., 465"
INDUSTRY_INFO_CULTURAL,Number,"INDUSTRY_INFO_CULTURAL: Industry - 51 Information and cultural industries. e.g., 255"
INDUSTRY_FINANCE_INSURANCE,Number,"INDUSTRY_FINANCE_INSURANCE: Industry - 52 Finance and insurance. e.g., 365"
INDUSTRY_REALESTATE,Number,"INDUSTRY_REALESTATE: Industry - 53 Real estate and rental and leasing. e.g., 170"
INDUSTRY_PROFESSIONAL,Number,"INDUSTRY_PROFESSIONAL: Industry - 54 Professional, scientific and technical services. e.g., 465"
INDUSTRY_MANAGEMENT,Number,"INDUSTRY_MANAGEMENT: Industry - 55 Management of companies and enterprises. e.g., 0"
INDUSTRY_ADMIN_WASTE,Number,"INDUSTRY_ADMIN_WASTE: Industry - 56 Administrative and support, waste management and remediation services. e.g., 355"
INDUSTRY_EDUCATION,Number,"INDUSTRY_EDUCATION: Industry - 61 Educational services. e.g., 755"
INDUSTRY_HEALTH,Number,"INDUSTRY_HEALTH: Industry - 62 Health care and social assistance. e.g., 1290"
INDUSTRY_ARTS_REC,Number,"INDUSTRY_ARTS_REC: Industry - 71 Arts, entertainment and recreation. e.g., 200"
INSUSTRY_ACCOMM_FOOD,Number,"INSUSTRY_ACCOMM_FOOD: Industry - 72 Accommodation and food services. e.g., 835"
INDUSTRY_OTHER,Number,"INDUSTRY_OTHER: Industry - 81 Other services (except public administration). e.g., 610"
INDUSTRY_PUBLIC_ADMIN,Number,"INDUSTRY_PUBLIC_ADMIN: Industry - 91 Public administration. e.g., 490"
OCCUPATION_MANAGEMENT,Number,"OCCUPATION_MANAGEMENT: Occupation - 0 Management occupations. e.g., 940"
OCCUPATION_BUSINESS,Number,"OCCUPATION_BUSINESS: Occupation - 1 Business, finance and administration occupations. e.g., 1410"
OCCUPATION_SCIENCE,Number,"OCCUPATION_SCIENCE: Occupation - 2 Natural and applied sciences and related occupations. e.g., 370"
OCCUPATION_HEALTH,Number,"OCCUPATION_HEALTH: Occupation - 3 Health occupations. e.g., 715"
OCCUPATION_EDUCATION_LAW,Number,"OCCUPATION_EDUCATION_LAW: Occupation - 4 Occupations in education, law and social, community and government services. e.g., 1195"
OCCUPATION_ART_CULTURE_REC,Number,"OCCUPATION_ART_CULTURE_REC: Occupation - 5 Occupations in art, culture, recreation and sport. e.g., 175"
OCCUPATION_SALES_SERVICE,Number,"OCCUPATION_SALES_SERVICE: Occupation - 6 Sales and service occupations. e.g., 2760"
OCCUPATION_TRADES,Number,"OCCUPATION_TRADES: Occupation - 7 Trades, transport and equipment operators and related occupations. e.g., 1620"
OCCUPATION_RESOURCES_AG,Number,"OCCUPATION_RESOURCES_AG: Occupation - 8 Natural resources, agriculture and related production occupations. e.g., 195"
OCCUPATION_MANUFACTURING,Number,"OCCUPATION_MANUFACTURING: Occupation - 9 Occupations in manufacturing and utilities. e.g., 320"
COMMUTE_MEDIAN,Number,"COMMUTE_MEDIAN: Median commuting duration (minutes). e.g., 10.2"
LABORFORCE_PARTICIPATION_MALE,Number,"LABORFORCE_PARTICIPATN_MALE: Labour force participation rate - male. e.g., 67.3"
LABORFORCE_PARTICIPATION_FEMALE,Number,"LABORFORCE_PARTICIPATN_FEMALE: Labour force participation rate - female. e.g., 59.3"
