census_year,census_subdivision_id,track_usetype,track_operatoena,track_ownerena,station_stnenname,station_stntype,station_stnusr1ena
2011,5933037,Freight and Passenger,Canadian Pacific,Canadian Pacific,Lasha,Unknown,Canadian National
2011,5949028,Freight,Canadian National,Canadian National,Moricetown,Unknown,Canadian National
2011,5951053,Freight and Passenger,Canadian National,Canadian National,Barrett,Unknown,Canadian National
2011,5937033,Freight,Okanagan Valley Railway Company,OmniTRAX,,,
2011,5933070,Freight,Canadian National,Canadian National,Avola East,Unknown,Canadian National
2011,5915029,Freight,Southern Railway of British Columbia,Island Corridor Foundation,Spruce,Unknown,Canadian National
2011,5909841,Freight and Passenger,Canadian Pacific,Canadian Pacific,,,
2011,5915808,Freight,Canadian National,Canadian National,,,
2011,5915022,Freight and Tourist,Canadian National,Canadian National,Vancouver,Mixed,Canadian Pacific
2011,5953019,Freight,Canadian National,Canadian National,Foster,Unknown,Canadian National
2011,5953019,Freight and Passenger,Canadian National,Canadian National,Morey,Unknown,Canadian National
2011,5955040,Freight,Canadian National,Canadian National,Zeke,Unknown,Canadian National
2011,5949013,Freight,Canadian National,Canadian National,Hagstad,Unknown,Canadian National
2011,5933042,Freight,Kelowna Pacific Railway,Knighthawk Rail Ltd.,Mann,Unknown,Canadian National
2011,5915029,Freight and Passenger,Canadian National,Canadian National,Brunette,Unknown,Canadian National
2011,5931821,Freight,Canadian National,Canadian National,,,
2011,5931006,Freight,Canadian National,Canadian National,Shannon,Unknown,Canadian National
2011,5949844,Freight and Passenger,Canadian National,Canadian National,,,
2011,5909876,Freight and Passenger,Canadian Pacific,Canadian Pacific,,,
2011,5939019,Freight,Canadian Pacific,Canadian Pacific,,,
2011,5933037,Freight and Tourist,Canadian Pacific,Canadian Pacific,Falls Creek,Unknown,Canadian National
2011,5953023,Freight,Canadian National,Canadian National,Prince George,Mixed,Canadian National
2011,5909014,Freight,Canadian Pacific,Canadian Pacific,Boston Bar,Mixed,Canadian National
2011,5933037,Freight and Passenger,Canadian Pacific,Canadian Pacific,Conrad,Unknown,Canadian National
2011,5909806,Freight,Canadian Pacific,Canadian Pacific,,,
2011,5909009,Freight,Canadian National,Canadian National,Hope,Mixed,Canadian National
