TAX_YEAR,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,CAT,REG,ITEM,VAC,PROPERTY_CLASS_CODE_OIC,PROPERTY_CLASS_DESCRIPTION,PROPERTY_TAX_LEVY_DESCRIPTION,TAX_RATE
2014,701,Fernie Rural,AC,01,E,D,4,Major Industry,KOOTENAY EAST HOSP,0.5491
2014,701,Fernie Rural,AC,01,E,D,5,Light Industry,KOOTENAY EAST HOSP,0.5491
2014,701,Fernie Rural,AC,01,E,D,6,Business and Other,KOOTENAY EAST HOSP,0.3957
2014,701,Fernie Rural,AC,01,E,D,7,Managed Forest Land,KOOTENAY EAST HOSP,0.4845
2014,701,Fernie Rural,AC,01,E,D,8,Recreation/Non-Profit,KOOTENAY EAST HOSP,0.1615
2014,701,Fernie Rural,AC,01,E,D,9,Farm,KOOTENAY EAST HOSP,0.1615
2014,701,Fernie Rural,AC,12,I,D,1,Residential,BC ASSESSMENT,0.0619
2014,701,Fernie Rural,AC,12,I,D,2,Utilities,BC ASSESSMENT,0.5115
2014,701,Fernie Rural,AC,12,I,D,4,Major Industry,BC ASSESSMENT,0.5115
2014,701,Fernie Rural,AC,12,I,D,5,Light Industry,BC ASSESSMENT,0.1755
2014,701,Fernie Rural,AC,12,I,D,6,Business and Other,BC ASSESSMENT,0.1755
2014,701,Fernie Rural,AC,12,I,D,7,Managed Forest Land,BC ASSESSMENT,0.3616
2014,701,Fernie Rural,AC,12,I,D,8,Recreation/Non-Profit,BC ASSESSMENT,0.0619
2014,701,Fernie Rural,AC,12,I,D,9,Farm,BC ASSESSMENT,0.0619
2014,701,Fernie Rural,AC,12,M,D,1,Residential,MUNICIPAL FINANCE,0.0002
2014,701,Fernie Rural,AC,12,M,D,2,Utilities,MUNICIPAL FINANCE,0.0007
2014,701,Fernie Rural,AC,12,M,D,3,Supportive Housing,MUNICIPAL FINANCE,0.0002
2014,701,Fernie Rural,AC,12,M,D,4,Major Industry,MUNICIPAL FINANCE,0.0007
2014,701,Fernie Rural,AC,12,M,D,5,Light Industry,MUNICIPAL FINANCE,0.0007
2014,701,Fernie Rural,AC,12,M,D,6,Business and Other,MUNICIPAL FINANCE,0.0005
2014,701,Fernie Rural,AC,12,M,D,7,Managed Forest Land,MUNICIPAL FINANCE,0.0006
2014,701,Fernie Rural,AC,12,M,D,8,Recreation/Non-Profit,MUNICIPAL FINANCE,0.0002
2014,701,Fernie Rural,AC,12,M,D,9,Farm,MUNICIPAL FINANCE,0.0002
2014,701,Fernie Rural,BE,12,A,D,1,Residential,AREA A EAST KOOTENAY,0.9831
2014,701,Fernie Rural,BE,12,A,D,2,Utilities,AREA A EAST KOOTENAY,3.4409
2014,701,Fernie Rural,BE,12,A,D,3,Supportive Housing,AREA A EAST KOOTENAY,0.9831
2014,701,Fernie Rural,BE,12,A,D,4,Major Industry,AREA A EAST KOOTENAY,3.3425
2014,701,Fernie Rural,BE,12,A,D,5,Light Industry,AREA A EAST KOOTENAY,3.3425
2014,701,Fernie Rural,BE,12,A,D,6,Business and Other,AREA A EAST KOOTENAY,2.4086
2014,701,Fernie Rural,BE,12,A,D,7,Managed Forest Land,AREA A EAST KOOTENAY,2.9493
2014,701,Fernie Rural,BE,12,A,D,8,Recreation/Non-Profit,AREA A EAST KOOTENAY,0.9831
2014,701,Fernie Rural,BE,12,A,D,9,Farm,AREA A EAST KOOTENAY,0.9831
2014,701,Fernie Rural,BE,12,B,D,1,Residential,AREA B EAST KOOTENAY,0.9947
2014,701,Fernie Rural,BE,12,B,D,2,Utilities,AREA B EAST KOOTENAY,3.4815
2014,701,Fernie Rural,BE,12,B,D,3,Supportive Housing,AREA B EAST KOOTENAY,0.9947
2014,701,Fernie Rural,BE,12,B,D,4,Major Industry,AREA B EAST KOOTENAY,3.382
2014,701,Fernie Rural,BE,12,B,D,5,Light Industry,AREA B EAST KOOTENAY,3.382
2014,701,Fernie Rural,BE,12,B,D,6,Business and Other,AREA B EAST KOOTENAY,2.437
2014,701,Fernie Rural,BE,12,B,D,7,Managed Forest Land,AREA B EAST KOOTENAY,2.9841
2014,701,Fernie Rural,BE,12,B,D,8,Recreation/Non-Profit,AREA B EAST KOOTENAY,0.9947
2014,701,Fernie Rural,BE,12,B,D,9,Farm,AREA B EAST KOOTENAY,0.9947
2014,701,Fernie Rural,BE,12,C,D,1,Residential,AREA C EAST KOOTENAY,1.1518
2014,701,Fernie Rural,BE,12,C,D,2,Utilities,AREA C EAST KOOTENAY,4.0313
2014,701,Fernie Rural,BE,12,C,D,3,Supportive Housing,AREA C EAST KOOTENAY,1.1518
2014,701,Fernie Rural,BE,12,C,D,4,Major Industry,AREA C EAST KOOTENAY,3.9161
2014,701,Fernie Rural,BE,12,C,D,5,Light Industry,AREA C EAST KOOTENAY,3.9161
2014,701,Fernie Rural,BE,12,C,D,6,Business and Other,AREA C EAST KOOTENAY,2.8219
2014,701,Fernie Rural,BE,12,C,D,7,Managed Forest Land,AREA C EAST KOOTENAY,3.4554
2014,701,Fernie Rural,BE,12,C,D,8,Recreation/Non-Profit,AREA C EAST KOOTENAY,1.1518
2014,701,Fernie Rural,BE,12,C,D,9,Farm,AREA C EAST KOOTENAY,1.1518
2014,701,Fernie Rural,BS,12,F,D,1,Residential,ELKO ST LIGHTING,0.2437
2014,701,Fernie Rural,BS,12,F,D,2,Utilities,ELKO ST LIGHTING,0.853
2014,701,Fernie Rural,BS,12,F,D,3,Supportive Housing,ELKO ST LIGHTING,0.2437
2014,701,Fernie Rural,BS,12,F,D,4,Major Industry,ELKO ST LIGHTING,0.8286
2014,701,Fernie Rural,BS,12,F,D,5,Light Industry,ELKO ST LIGHTING,0.8286
2014,701,Fernie Rural,BS,12,F,D,6,Business and Other,ELKO ST LIGHTING,0.5971
2014,701,Fernie Rural,BS,12,F,D,7,Managed Forest Land,ELKO ST LIGHTING,0.7311
2014,701,Fernie Rural,BS,12,F,D,8,Recreation/Non-Profit,ELKO ST LIGHTING,0.2437
2014,701,Fernie Rural,BS,12,F,D,9,Farm,ELKO ST LIGHTING,0.2437
2014,701,Fernie Rural,BS,12,W,D,1,Residential,ROSEN LK WATER LEVEL,0.0609
2014,701,Fernie Rural,BS,12,W,D,2,Utilities,ROSEN LK WATER LEVEL,0.2132
2014,701,Fernie Rural,BS,12,W,D,3,Supportive Housing,ROSEN LK WATER LEVEL,0.0609
2014,701,Fernie Rural,BS,12,W,D,4,Major Industry,ROSEN LK WATER LEVEL,0.2071
2014,701,Fernie Rural,BS,12,W,D,5,Light Industry,ROSEN LK WATER LEVEL,0.2071
2014,701,Fernie Rural,BS,12,W,D,6,Business and Other,ROSEN LK WATER LEVEL,0.1492
2014,701,Fernie Rural,BS,12,W,D,7,Managed Forest Land,ROSEN LK WATER LEVEL,0.1827
2014,701,Fernie Rural,BS,12,W,D,8,Recreation/Non-Profit,ROSEN LK WATER LEVEL,0.0609
2014,701,Fernie Rural,BS,12,W,D,9,Farm,ROSEN LK WATER LEVEL,0.0609
2014,701,Fernie Rural,BV,12,A,D,1,Residential,BAYNES LAKE FIRE,1.6611
2014,701,Fernie Rural,BV,12,A,D,2,Utilities,BAYNES LAKE FIRE,5.8139
2014,701,Fernie Rural,BV,12,A,D,3,Supportive Housing,BAYNES LAKE FIRE,1.6611
2014,701,Fernie Rural,BV,12,A,D,4,Major Industry,BAYNES LAKE FIRE,5.6477
2014,701,Fernie Rural,BV,12,A,D,5,Light Industry,BAYNES LAKE FIRE,5.6477
2014,701,Fernie Rural,BV,12,A,D,6,Business and Other,BAYNES LAKE FIRE,4.0697
2014,701,Fernie Rural,BV,12,A,D,7,Managed Forest Land,BAYNES LAKE FIRE,4.9833
2014,701,Fernie Rural,BV,12,A,D,8,Recreation/Non-Profit,BAYNES LAKE FIRE,1.6611
2014,701,Fernie Rural,BV,12,A,D,9,Farm,BAYNES LAKE FIRE,1.6611
2014,701,Fernie Rural,BV,12,B,D,1,Residential,W FERNIE ST LIGHTING,0.184
2014,701,Fernie Rural,BV,12,B,D,2,Utilities,W FERNIE ST LIGHTING,0.644
2014,701,Fernie Rural,BV,12,B,D,3,Supportive Housing,W FERNIE ST LIGHTING,0.184
2014,701,Fernie Rural,BV,12,B,D,4,Major Industry,W FERNIE ST LIGHTING,0.6256
2014,701,Fernie Rural,BV,12,B,D,5,Light Industry,W FERNIE ST LIGHTING,0.6256
2014,701,Fernie Rural,BV,12,B,D,6,Business and Other,W FERNIE ST LIGHTING,0.4508
2014,701,Fernie Rural,BV,12,B,D,7,Managed Forest Land,W FERNIE ST LIGHTING,0.552
2014,701,Fernie Rural,BV,12,B,D,8,Recreation/Non-Profit,W FERNIE ST LIGHTING,0.184
2014,701,Fernie Rural,BV,12,B,D,9,Farm,W FERNIE ST LIGHTING,0.184
2014,701,Fernie Rural,BV,12,D,D,1,Residential,JAFFRAY FIRE PROT,0.7584
2014,701,Fernie Rural,BV,12,D,D,2,Utilities,JAFFRAY FIRE PROT,2.6544
2014,701,Fernie Rural,BV,12,D,D,3,Supportive Housing,JAFFRAY FIRE PROT,0.7584
2014,701,Fernie Rural,BV,12,D,D,4,Major Industry,JAFFRAY FIRE PROT,2.5786
2014,701,Fernie Rural,BV,12,D,D,5,Light Industry,JAFFRAY FIRE PROT,2.5786
2014,701,Fernie Rural,BV,12,D,D,6,Business and Other,JAFFRAY FIRE PROT,1.8581
2014,701,Fernie Rural,BV,12,D,D,7,Managed Forest Land,JAFFRAY FIRE PROT,2.2752
2014,701,Fernie Rural,BV,12,D,D,8,Recreation/Non-Profit,JAFFRAY FIRE PROT,0.7584
2014,701,Fernie Rural,BV,12,D,D,9,Farm,JAFFRAY FIRE PROT,0.7584
2014,701,Fernie Rural,BV,12,G,D,1,Residential,FERNIE RURAL FIRE,0.9109
2014,701,Fernie Rural,BV,12,G,D,2,Utilities,FERNIE RURAL FIRE,3.1882
2014,701,Fernie Rural,BV,12,G,D,3,Supportive Housing,FERNIE RURAL FIRE,0.9109
2014,701,Fernie Rural,BV,12,G,D,4,Major Industry,FERNIE RURAL FIRE,3.0971
2014,701,Fernie Rural,BV,12,G,D,5,Light Industry,FERNIE RURAL FIRE,3.0971
2014,701,Fernie Rural,BV,12,G,D,6,Business and Other,FERNIE RURAL FIRE,2.2317
2014,701,Fernie Rural,BV,12,G,D,7,Managed Forest Land,FERNIE RURAL FIRE,2.7327
2014,701,Fernie Rural,BV,12,G,D,8,Recreation/Non-Profit,FERNIE RURAL FIRE,0.9109
2014,701,Fernie Rural,BV,12,G,D,9,Farm,FERNIE RURAL FIRE,0.9109
2014,701,Fernie Rural,BV,12,J,D,1,Residential,HOSMER FIRE PROT,1.037
2014,701,Fernie Rural,BV,12,J,D,2,Utilities,HOSMER FIRE PROT,3.6295
2014,701,Fernie Rural,BV,12,J,D,3,Supportive Housing,HOSMER FIRE PROT,1.037
2014,701,Fernie Rural,BV,12,J,D,4,Major Industry,HOSMER FIRE PROT,3.5258
2014,701,Fernie Rural,BV,12,J,D,5,Light Industry,HOSMER FIRE PROT,3.5258
2014,701,Fernie Rural,BV,12,J,D,6,Business and Other,HOSMER FIRE PROT,2.5407
2014,701,Fernie Rural,BV,12,J,D,7,Managed Forest Land,HOSMER FIRE PROT,3.111
2014,701,Fernie Rural,BV,12,J,D,8,Recreation/Non-Profit,HOSMER FIRE PROT,1.037
2014,701,Fernie Rural,BV,12,J,D,9,Farm,HOSMER FIRE PROT,1.037
2014,701,Fernie Rural,BV,12,L,D,1,Residential,ELK VAL VICTIM SRV,0.0017
2014,701,Fernie Rural,BV,12,L,D,2,Utilities,ELK VAL VICTIM SRV,0.006
2014,701,Fernie Rural,BV,12,L,D,3,Supportive Housing,ELK VAL VICTIM SRV,0.0017
2014,701,Fernie Rural,BV,12,L,D,4,Major Industry,ELK VAL VICTIM SRV,0.0058
2014,701,Fernie Rural,BV,12,L,D,5,Light Industry,ELK VAL VICTIM SRV,0.0058
2014,701,Fernie Rural,BV,12,L,D,6,Business and Other,ELK VAL VICTIM SRV,0.0042
2014,701,Fernie Rural,BV,12,L,D,7,Managed Forest Land,ELK VAL VICTIM SRV,0.0051
2014,701,Fernie Rural,BV,12,L,D,8,Recreation/Non-Profit,ELK VAL VICTIM SRV,0.0017
2014,701,Fernie Rural,BV,12,L,D,9,Farm,ELK VAL VICTIM SRV,0.0017
2014,701,Fernie Rural,BV,12,M,D,1,Residential,UPPER EV FIRE PROT,0.9121
2014,701,Fernie Rural,BV,12,M,D,2,Utilities,UPPER EV FIRE PROT,3.1924
2014,701,Fernie Rural,BV,12,M,D,3,Supportive Housing,UPPER EV FIRE PROT,0.9121
2014,701,Fernie Rural,BV,12,M,D,4,Major Industry,UPPER EV FIRE PROT,3.1011
2014,701,Fernie Rural,BV,12,M,D,5,Light Industry,UPPER EV FIRE PROT,3.1011
2014,701,Fernie Rural,BV,12,M,D,6,Business and Other,UPPER EV FIRE PROT,2.2346
2014,701,Fernie Rural,BV,12,M,D,7,Managed Forest Land,UPPER EV FIRE PROT,2.7363
2014,701,Fernie Rural,BV,12,M,D,8,Recreation/Non-Profit,UPPER EV FIRE PROT,0.9121
2014,701,Fernie Rural,BV,12,M,D,9,Farm,UPPER EV FIRE PROT,0.9121
2014,701,Fernie Rural,BY,12,A,D,1,Residential,POLICE TAX,0.1397
2014,701,Fernie Rural,BY,12,A,D,2,Utilities,POLICE TAX,0.4888
2014,701,Fernie Rural,BY,12,A,D,3,Supportive Housing,POLICE TAX,0.1
2014,701,Fernie Rural,BY,12,A,D,4,Major Industry,POLICE TAX,0.4748
2014,701,Fernie Rural,BY,12,A,D,5,Light Industry,POLICE TAX,0.4748
2014,701,Fernie Rural,BY,12,A,D,6,Business and Other,POLICE TAX,0.3422
2014,701,Fernie Rural,BY,12,A,D,7,Managed Forest Land,POLICE TAX,0.419
2014,701,Fernie Rural,BY,12,A,D,8,Recreation/Non-Profit,POLICE TAX,0.1397
2014,701,Fernie Rural,BY,12,A,D,9,Farm,POLICE TAX,0.1397
2014,701,Fernie Rural,BY,12,B,D,1,Residential,POLICE TAX,0.1409
2014,701,Fernie Rural,BY,12,B,D,2,Utilities,POLICE TAX,0.4933
2014,701,Fernie Rural,BY,12,B,D,3,Supportive Housing,POLICE TAX,0.1
2014,701,Fernie Rural,BY,12,B,D,4,Major Industry,POLICE TAX,0.4792
2014,701,Fernie Rural,BY,12,B,D,5,Light Industry,POLICE TAX,0.4792
2014,701,Fernie Rural,BY,12,B,D,6,Business and Other,POLICE TAX,0.3453
2014,701,Fernie Rural,BY,12,B,D,7,Managed Forest Land,POLICE TAX,0.4228
2014,701,Fernie Rural,BY,12,B,D,8,Recreation/Non-Profit,POLICE TAX,0.1409
2014,701,Fernie Rural,BY,12,B,D,9,Farm,POLICE TAX,0.1409
2014,701,Fernie Rural,BY,12,C,D,1,Residential,POLICE TAX,0.1699
2014,701,Fernie Rural,BY,12,C,D,2,Utilities,POLICE TAX,0.5946
2014,701,Fernie Rural,BY,12,C,D,3,Supportive Housing,POLICE TAX,0.1
2014,701,Fernie Rural,BY,12,C,D,4,Major Industry,POLICE TAX,0.5776
2014,701,Fernie Rural,BY,12,C,D,5,Light Industry,POLICE TAX,0.5776
2014,701,Fernie Rural,BY,12,C,D,6,Business and Other,POLICE TAX,0.4162
2014,701,Fernie Rural,BY,12,C,D,7,Managed Forest Land,POLICE TAX,0.5097
2014,701,Fernie Rural,BY,12,C,D,8,Recreation/Non-Profit,POLICE TAX,0.1699
2014,701,Fernie Rural,BY,12,C,D,9,Farm,POLICE TAX,0.1699
2014,702,Cranbrook Rural,AA,,G,A,1,Residential,GEN RESIDENTIAL,0.56
2014,702,Cranbrook Rural,AA,,G,A,2,Utilities,GEN UTILITIES,3.82
2014,702,Cranbrook Rural,AA,,G,A,3,Supportive Housing,GEN SUPPORTIVE HSNG,0.1
2014,702,Cranbrook Rural,AA,,G,A,4,Major Industry,GEN MAJOR INDUSTRY,5.34
2014,702,Cranbrook Rural,AA,,G,A,5,Light Industry,GEN LIGHT INDUSTRY,2.91
2014,702,Cranbrook Rural,AA,,G,A,6,Business and Other,GEN BUSINESS/OTHER,2.91
2014,702,Cranbrook Rural,AA,,G,A,7,Managed Forest Land,GEN MANAGED FOR.,0.56
2014,702,Cranbrook Rural,AA,,G,A,8,Recreation/Non-Profit,GEN RECN/NON-PROFIT,0.94
2014,702,Cranbrook Rural,AA,,G,A,9,Farm,GEN FARM,0.52
2014,702,Cranbrook Rural,AB,05,S,S,1,Residential,SCH RESIDENTIAL,2.4999
2014,702,Cranbrook Rural,AB,05,S,S,2,Utilities,SCH UTILITIES,13.6
2014,702,Cranbrook Rural,AB,05,S,S,3,Supportive Housing,SCH SUSTAIN HOUSING,0.1
2014,702,Cranbrook Rural,AB,05,S,S,4,Major Industry,SCH MAJOR INDUSTRY,6
2014,702,Cranbrook Rural,AB,05,S,S,5,Light Industry,SCH LIGHT INDUSTRY,6
2014,702,Cranbrook Rural,AB,05,S,S,6,Business and Other,SCH BUSINESS/OTHER,6
2014,702,Cranbrook Rural,AB,05,S,S,7,Managed Forest Land,SCH MANAGED FOREST,2.4
2014,702,Cranbrook Rural,AB,05,S,S,8,Recreation/Non-Profit,SCH RECN/NON-PROFIT,3.4
2014,702,Cranbrook Rural,AB,05,S,S,9,Farm,SCH FARM,6.9
2014,702,Cranbrook Rural,AC,01,E,D,1,Residential,KOOTENAY EAST HOSP,0.1615
2014,702,Cranbrook Rural,AC,01,E,D,2,Utilities,KOOTENAY EAST HOSP,0.5653
2014,702,Cranbrook Rural,AC,01,E,D,3,Supportive Housing,KOOTENAY EAST HOSP,0.1615
2014,702,Cranbrook Rural,AC,01,E,D,4,Major Industry,KOOTENAY EAST HOSP,0.5491
2014,702,Cranbrook Rural,AC,01,E,D,5,Light Industry,KOOTENAY EAST HOSP,0.5491
2014,702,Cranbrook Rural,AC,01,E,D,6,Business and Other,KOOTENAY EAST HOSP,0.3957
2014,702,Cranbrook Rural,AC,01,E,D,7,Managed Forest Land,KOOTENAY EAST HOSP,0.4845
2014,702,Cranbrook Rural,AC,01,E,D,8,Recreation/Non-Profit,KOOTENAY EAST HOSP,0.1615
2014,702,Cranbrook Rural,AC,01,E,D,9,Farm,KOOTENAY EAST HOSP,0.1615
2014,702,Cranbrook Rural,AC,12,I,D,1,Residential,BC ASSESSMENT,0.0619
2014,702,Cranbrook Rural,AC,12,I,D,2,Utilities,BC ASSESSMENT,0.5115
2014,702,Cranbrook Rural,AC,12,I,D,4,Major Industry,BC ASSESSMENT,0.5115
2014,702,Cranbrook Rural,AC,12,I,D,5,Light Industry,BC ASSESSMENT,0.1755
2014,702,Cranbrook Rural,AC,12,I,D,6,Business and Other,BC ASSESSMENT,0.1755
2014,702,Cranbrook Rural,AC,12,I,D,7,Managed Forest Land,BC ASSESSMENT,0.3616
2014,702,Cranbrook Rural,AC,12,I,D,8,Recreation/Non-Profit,BC ASSESSMENT,0.0619
2014,702,Cranbrook Rural,AC,12,I,D,9,Farm,BC ASSESSMENT,0.0619
2014,702,Cranbrook Rural,AC,12,M,D,1,Residential,MUNICIPAL FINANCE,0.0002
2014,702,Cranbrook Rural,AC,12,M,D,2,Utilities,MUNICIPAL FINANCE,0.0007
2014,702,Cranbrook Rural,AC,12,M,D,3,Supportive Housing,MUNICIPAL FINANCE,0.0002
2014,702,Cranbrook Rural,AC,12,M,D,4,Major Industry,MUNICIPAL FINANCE,0.0007
2014,702,Cranbrook Rural,AC,12,M,D,5,Light Industry,MUNICIPAL FINANCE,0.0007
2014,702,Cranbrook Rural,AC,12,M,D,6,Business and Other,MUNICIPAL FINANCE,0.0005
2014,702,Cranbrook Rural,AC,12,M,D,7,Managed Forest Land,MUNICIPAL FINANCE,0.0006
2014,702,Cranbrook Rural,AC,12,M,D,8,Recreation/Non-Profit,MUNICIPAL FINANCE,0.0002
2014,702,Cranbrook Rural,AC,12,M,D,9,Farm,MUNICIPAL FINANCE,0.0002
2014,702,Cranbrook Rural,BE,12,C,D,1,Residential,AREA C EAST KOOTENAY,1.1448
2014,702,Cranbrook Rural,BE,12,C,D,2,Utilities,AREA C EAST KOOTENAY,4.0068
2014,702,Cranbrook Rural,BE,12,C,D,3,Supportive Housing,AREA C EAST KOOTENAY,1.1448
2014,702,Cranbrook Rural,BE,12,C,D,4,Major Industry,AREA C EAST KOOTENAY,3.8923
2014,702,Cranbrook Rural,BE,12,C,D,5,Light Industry,AREA C EAST KOOTENAY,3.8923
2014,702,Cranbrook Rural,BE,12,C,D,6,Business and Other,AREA C EAST KOOTENAY,2.8048
2014,702,Cranbrook Rural,BE,12,C,D,7,Managed Forest Land,AREA C EAST KOOTENAY,3.4344
2014,702,Cranbrook Rural,BE,12,C,D,8,Recreation/Non-Profit,AREA C EAST KOOTENAY,1.1448
2014,702,Cranbrook Rural,BE,12,C,D,9,Farm,AREA C EAST KOOTENAY,1.1448
2014,702,Cranbrook Rural,BS,12,D,D,1,Residential,MOYIE ST LIGHTING,0.2691
2014,702,Cranbrook Rural,BS,12,D,D,2,Utilities,MOYIE ST LIGHTING,0.9419
2014,702,Cranbrook Rural,BS,12,D,D,3,Supportive Housing,MOYIE ST LIGHTING,0.2691
2014,702,Cranbrook Rural,BS,12,D,D,4,Major Industry,MOYIE ST LIGHTING,0.9149
2014,702,Cranbrook Rural,BS,12,D,D,5,Light Industry,MOYIE ST LIGHTING,0.9149
2014,702,Cranbrook Rural,BS,12,D,D,6,Business and Other,MOYIE ST LIGHTING,0.6593
2014,702,Cranbrook Rural,BS,12,D,D,7,Managed Forest Land,MOYIE ST LIGHTING,0.8073
2014,702,Cranbrook Rural,BS,12,D,D,8,Recreation/Non-Profit,MOYIE ST LIGHTING,0.2691
2014,702,Cranbrook Rural,BS,12,D,D,9,Farm,MOYIE ST LIGHTING,0.2691
2014,702,Cranbrook Rural,BS,12,H,D,1,Residential,KING COBHAM ST LT,0.2316
2014,702,Cranbrook Rural,BS,12,H,D,2,Utilities,KING COBHAM ST LT,0.8106
2014,702,Cranbrook Rural,BS,12,H,D,3,Supportive Housing,KING COBHAM ST LT,0.2316
2014,702,Cranbrook Rural,BS,12,H,D,4,Major Industry,KING COBHAM ST LT,0.7874
2014,702,Cranbrook Rural,BS,12,H,D,5,Light Industry,KING COBHAM ST LT,0.7874
2014,702,Cranbrook Rural,BS,12,H,D,6,Business and Other,KING COBHAM ST LT,0.5674
2014,702,Cranbrook Rural,BS,12,H,D,7,Managed Forest Land,KING COBHAM ST LT,0.6948
2014,702,Cranbrook Rural,BS,12,H,D,8,Recreation/Non-Profit,KING COBHAM ST LT,0.2316
2014,702,Cranbrook Rural,BS,12,H,D,9,Farm,KING COBHAM ST LT,0.2316
2014,702,Cranbrook Rural,BV,12,A,D,1,Residential,WARDNER ST LIGHTING,0.145
2014,702,Cranbrook Rural,BV,12,A,D,2,Utilities,WARDNER ST LIGHTING,0.5075
2014,702,Cranbrook Rural,BV,12,A,D,3,Supportive Housing,WARDNER ST LIGHTING,0.145
2014,702,Cranbrook Rural,BV,12,A,D,4,Major Industry,WARDNER ST LIGHTING,0.493
2014,702,Cranbrook Rural,BV,12,A,D,5,Light Industry,WARDNER ST LIGHTING,0.493
2014,702,Cranbrook Rural,BV,12,A,D,6,Business and Other,WARDNER ST LIGHTING,0.3553
2014,702,Cranbrook Rural,BV,12,A,D,7,Managed Forest Land,WARDNER ST LIGHTING,0.435
2014,702,Cranbrook Rural,BV,12,A,D,8,Recreation/Non-Profit,WARDNER ST LIGHTING,0.145
2014,702,Cranbrook Rural,BV,12,A,D,9,Farm,WARDNER ST LIGHTING,0.145
2014,702,Cranbrook Rural,BV,12,B,D,1,Residential,CRANBROOK FIRE PROT,1.1467
2014,702,Cranbrook Rural,BV,12,B,D,2,Utilities,CRANBROOK FIRE PROT,4.0135
2014,702,Cranbrook Rural,BV,12,B,D,3,Supportive Housing,CRANBROOK FIRE PROT,1.1467
2014,702,Cranbrook Rural,BV,12,B,D,4,Major Industry,CRANBROOK FIRE PROT,3.8988
2014,702,Cranbrook Rural,BV,12,B,D,5,Light Industry,CRANBROOK FIRE PROT,3.8988
2014,702,Cranbrook Rural,BV,12,B,D,6,Business and Other,CRANBROOK FIRE PROT,2.8094
2014,702,Cranbrook Rural,BV,12,B,D,7,Managed Forest Land,CRANBROOK FIRE PROT,3.4401
2014,702,Cranbrook Rural,BV,12,B,D,8,Recreation/Non-Profit,CRANBROOK FIRE PROT,1.1467
2014,702,Cranbrook Rural,BV,12,B,D,9,Farm,CRANBROOK FIRE PROT,1.1467
2014,702,Cranbrook Rural,BY,12,C,D,1,Residential,POLICE TAX,0.1699
2014,702,Cranbrook Rural,BY,12,C,D,2,Utilities,POLICE TAX,0.5946
2014,702,Cranbrook Rural,BY,12,C,D,3,Supportive Housing,POLICE TAX,0.1
2014,702,Cranbrook Rural,BY,12,C,D,4,Major Industry,POLICE TAX,0.5776
2014,702,Cranbrook Rural,BY,12,C,D,5,Light Industry,POLICE TAX,0.5776
2014,702,Cranbrook Rural,BY,12,C,D,6,Business and Other,POLICE TAX,0.4162
2014,702,Cranbrook Rural,BY,12,C,D,7,Managed Forest Land,POLICE TAX,0.5097
2014,702,Cranbrook Rural,BY,12,C,D,8,Recreation/Non-Profit,POLICE TAX,0.1699
2014,702,Cranbrook Rural,BY,12,C,D,9,Farm,POLICE TAX,0.1699
2014,703,Cranbrook Rural,AA,,G,A,1,Residential,GEN RESIDENTIAL,0.56
2014,703,Cranbrook Rural,AA,,G,A,2,Utilities,GEN UTILITIES,3.82
