NAME,FIRST_NATIONS_BAND NAME,NATION,REGION,POPULATION,PRIMARY_CONTACT,CONTACT_TITLE,EMAIL,PHONE,FAX,WEB_SITE,ADDRESS,CITY,PROVINCE,POSTAL_CODE,LATITUDE,LONGITUDE,PHOTO
Boothroyd,,Nlaka'pamux,Mainland / Southwest,281,,,boothroydband@gmail.com,(604) 867-9211,(604) 867-9747,,PO BOX 295,Boston Bar,BC,V0K 1C0,49.961792,-121.483398,no
Boston Bar First Nation,,Nlaka'pamux,Mainland / Southwest,262,Dolores O'Donaghey,Chief,bbarbandd@uniserve.com,(604) 867-8844,(604) 867-9317,http://bostonbarfirstnation.com,PO BOX 369,Boston Bar,BC,V0K 1C0,49.869812,-121.451294,yes
Bridge River,Xwisten,St'át'imc,Mainland / Southwest,453,Florence Jack,"Administrator, Economic Development",frontdesk@xwisten.ca,(250) 256-7423,(250) 256-7999,http://www.xwisten.ca,PO BOX 190,Lillooet,BC,V0K 1V0,50.813889,-122.083056,no
Campbell River,We Wai Kum,Kwakwaka'wakw,Vancouver Island / Coast,787,Robert Pollard,Chief,bpollard@crband.ca,(250) 286-6949,(250) 287-8838,http://www.crband.ca,1400 Weiwaikum RD,Campbell River,BC,V9W 5W8,50.03268,-125.257981,no
Canim Lake,Tsq'escen',Secwepemc,Cariboo,607,Roy Christopher,Economic Development Officer,ecdev@canimlakeband.com,(250) 397-2227,(250) 397-2769,http://www.canimlakeband.com,PO BOX 1030,100 Mile House,BC,V0K 2E0,51.778809,-120.979614,no
Chawathil,Hope Indian Band,Sto:lo,Mainland / Southwest,589,,,chawath@hughes.net,(604) 869-9994,(604) 869-7614,,4-60814 Lougheed HWY,Hope,BC,V0X 1L3,49.378889,-121.555,no
Cheam,,Sto:lo,Mainland / Southwest,526,Eric Alex,Executive Director,eric.alex@cheamband.com,(604) 794-7924,(694) 794-7456,,52130 Old Yale RD,Rosedale,BC,V0X 1X0,49.18974,-121.784241,no
Cheslatta Carrier Nation,Cheslatta Carrier Nation,Dakelh (Carrier),Nechako,345,Coreena Lewis,General Manager ,cleween@cheslatta.com,(250) 694-3334,(250) 694-3632,,PO BOX 909,Burns Lake,BC,V0J 1E0,54.005615,-125.712585,no
Coldwater,,Nlaka'pamux,Thompson / Okanagan,827,Lee Spahan,Chief ,lspahan@coldwaterband.org,(250) 378-6174,(250) 378-5351,http://www.coldwaterband.com,PO BOX 4600,Merritt,BC,V1K 1B8,50.03302,-120.85968,no
Cook's Ferry,,Nlaka'pamux,Thompson / Okanagan,342,David Walkem,Chief,david.walkem@cooksferry.com,(250) 458-2224,(250) 458-2312,,PO BOX 130,Spences Bridge,BC,V0K 2L0,50.423035,-121.317993,no
Cowichan,,Coast Salish,Vancouver Island / Coast,4786,Maureen Thomas,"COO, Khowutzun Development Corporation",maureenthomas@khowutzun.com,(250) 748-3196,(250) 748-1233,http://www.cowichantribes.com,5760 Allenby RD,Duncan,BC,V9L 5J1,48.776794,-123.708313,no
Da'naxda'xw First Nation,,Kwakwaka'wakw,Vancouver Island / Coast,218,Elizabeth Davidson,Economic Development Officer,elizabeth@danaxdaxw.com,(250) 974-2703,(250) 974-2706,http://www.danaxdaxw.com,PO BOX 330,Alert Bay,BC,V0N 1A0,51.017212,-125.612183,no
Dease River,Dease River First Nation,,Nechako,,Myles Carlick,Lands and Resources Officer,mcarlick13@gmail.com,250-239-3000,,,PO BOX 79,GOOD HOPE LAKE,BC,V0C 2Z0,60.239811 ,-132.407227,no
Ditidaht,,Nuu-chah-nulth,Vancouver Island / Coast,768,Jack Thompson,Economic Development Officer,jkthompson@ditidaht.ca,(250) 745-3333,(250) 745-3332,http://www.ditidaht.ca/,PO BOX 340,Port Alberni,BC,V9Y 7M8,48.810425,-124.671387,no
Doig River First Nation,Doig River First Nation,Dunne-zaa (Beaver),Northeast,302,,,reception@doigriverfn.com,(250) 827-3776,(250) 827-3778,,PO BOX 56,Rose Prairie,BC,V0C 2H0,56.573056,-120.491111,no
Dzawada'enuxw ,,Kwakwaka'wakw,Vancouver Island / Coast,534,Bobbi Smith,Band Administrator,bsmith@kingcome.ca,(250) 974-3013,(250) 974-3005,http://www.kingcome.ca,General Delivery,Kingcome Inlet,BC,V0N 2B0,50.972595,-126.175781,no
Ehattesaht,ʔiiḥatis,Nuu-chah-nulth,Vancouver Island / Coast,462,Doreen John,Administrator,doreen.john@ehatis.ca,(250) 761-4155,(250) 761-4156,http://www.ehattesaht.com,PO BOX 59,Zeballos,BC,V0P 2A0,49.87384,-126.976196,no
Esk'etemc,Alkali Lake,Secwepemc,Cariboo,950,Patricia Chelsea,Economic Development Officer,ecdev@esketemc.ca,(250) 440-5611,(250) 440-5721,http://www.esketemc.org,PO BOX 4479,Williams Lake,BC,V2G 2V5,51.788635,-122.229675,no
Esquimalt,,Coast Salish,Vancouver Island / Coast,298,Bob Mason,Economic Development,bob@longbowproperties.com,(250) 381-7861,(250) 384-9309,http://www.esquimaltnation.ca,1189 Kosapsum CRES,Victoria,BC,V9A 7K7,48.445007,-123.429993,no
Fort Nelson First Nation,Fort Nelson First Nation,Dene / Cree,Northeast,902,Muhamud Hassan,Economic Development,muhamud.hassan@fnnation.ca,(250) 774-7257,(250) 774-7260,http://www.fortnelsonfirstnation.org,"MILE 295 Alaska HWY, RR 1",Fort Nelson,BC,V0C 1R0,58.792419,-122.546875,no
Gitanmaax,,Gitxsan,North Coast,2365,Dianne Shanoss,Executive Director,d.shanoss@gitanmaax.com,250-842-5297,250-842-6364,http://www.gitanmaax.com,PO Box 440  ,Hazelton ,BC,V0J 1Y0,55.255,-127.671111,no
Gitanyow,,Gitxsan,North Coast,835,Joe Starlund,Councillor (Ec Dev Portfolio),joe.starlund@gitanyowchiefs.com,250-849-5222,250-849-5787,http://www.gitanyow.com/,PO Box 340,Kitwanga,BC,V0J 2A0,55.258788,-128.058816,no
Gitga'at Nation,Hartley Bay,Tsimshian,North Coast,736,Ellen Torng,CEO,ellentorng@gitgaat.net,(250) 841-2500,(250) 841-2541,http://www.gitgaat.net/,General Delivery 445 Hayimiisaxaa Way,Hartley Bay,BC,V0V 1A0,53.424194,-129.253784,no
Gitsegukla Band Council,Gitsegukla Band,Gitxsan,North Coast,986,Vern Milton,Chairperson ,vern.milton@gmail.com,(250) 849-5490,(250) 849-5492,http://www.gitsegukla.org,"710 Raycharles AVE, RR 1",Gitsegukla,BC,V0J 2J3,55.096944,-127.828889,no
Gitwangak,Kitwanga,Gitxsan,North Coast,1306,Teresa Maitland,Finance Officer,finance@gitwangak.ca,(250) 849-5591,(250) 849-5353,http://www.gitwangak.ca,PO BOX 400,Kitwanga,BC,V0J 2A0,55.096178,-128.075998,no
Gitxaala Nation,Kitkatla First Nation,Tsimshian,North Coast,1917,Mark Ignas,Business Manager,mark.ignas@gitxaalanation.com,(250) 848-2214,(250) 848-2238,http://gitxaalanation.com/,PO BOX 149,Kitkatla,BC,V0V 1C0,53.773987,-130.438904,no
Glen Vowell,Sik-e-Dakh,Gitxsan,North Coast,413,Mary Lou Malott,Band Manager,administrator@glenvowell.ca,(250) 842-5241,(250) 842-5601,http://glenvowell.ca/,RR 1 SITE J COMP 43,Hazelton,BC,V0J 1Y0,55.308056,-127.683056,no
Gwa'Sala-Nakwaxda'xw,Tsulquate,Kwakwaka'wakw,Vancouver Island / Coast,942,Conrad Brown,Economic Development Officer,ecdev@gwanak.info,250 902 2301 ,(250) 949-7402,http://www.gwanak.info/,PO BOX 998,Port Hardy,BC,V0N 2P0,50.733215,-127.498596,no
Gwawaenuk Tribe,Gwawa'enuxw,Kwakwaka'wakw,Vancouver Island / Coast,41,,,gwatribe@telus.net,(250) 949-8732,,,PO BOX 344,Port Mcneil,BC,V0N 2R0,50.923925,-126.820882,no
Hagwilget Village ,Hagwilget Village Band Council,Wet'suwet'en,North Coast,770,Vernon Joseph,Economic Development Officer,vernon@hagwilget.com,250-842-6258,250-842-6924,http://www.hagwilget.com,PO Box 460,New Hazelton,BC,V0J2J0,55.255,-127.603056,no
Haisla Nation,Haisla Nation Council,Haisla,North Coast,1816,Brent Robinson,Economic Development Officer,brentrobinson@haisla.ca,250-639-9361,250-632-2840,http://haisla.ca/,500 Gitksan Ave.  Haisla PO Box 1101,Kitimat Village,BC,V0T 2B0,53.973206,-128.648071,no
Halalt,,Coast Salish,Vancouver Island / Coast,210,James Thomas,Chief,chief@halalt.org,(250) 246-4736,(250) 246-2330,http://www.halalt.org,"7973 Chemainus RD, RR 5",Chemainus,BC,V0R 1K5,48.876587,-123.692826,no
Halfway River First Nation,,Dunne-zaa (Beaver),Northeast,271,William Field,Board of Directors,wfield@halfwayrivergroup.ca,(250) 772-5058,(250) 772-5200,,PO BOX 59,Wonowon,BC,V0C 2N0,56.473889,-121.881111,no
Heiltsuk Nation,Heiltsuk Nation,Heiltsuk,Vancouver Island / Coast,2379,Carmen Hall ,"Executive Director, Heiltsuk Tribal coun",mslett@bellabella.net,(250) 957-2381,(250) 957-2544,,PO BOX 880,Bella Bella,BC,V0T 1Z0,52.166944,-128.146944,no
Hesquiaht,,Nuu-chah-nulth,Vancouver Island / Coast,718,Bob Anderson,Tribal Administrator,administrator@Hesquiaht.ca,(250) 670-1101,(250) 670-1102,http://hesquiaht.org,PO BOX 2000,Tofino,BC,V0R 2Z0,49.367004,-126.271973,no
High Bar,Llenlleney'ten,Secwepemc,Thompson / Okanagan,118,Vi Antoine,Cultural Heritage Resource Manager,vi@hbfn.ca,(250) 459-2117,(250) 459-2119,,PO BOX 458,Clinton,BC,V0K 1K0,51.113037,-122.018066,no
Homalco,,Coast Salish,Vancouver Island / Coast,470,Mary Ann	Enevoldsen,Chief,homalcofn@hotmail.com,(250) 923-4979,(250) 923-4987,,1218 BUTE CRESCENT,Campbell River,BC,V9H 1G5,49.951938,-125.243754,no
Hupacasath First Nation,,Nuu-chah-nulth,Vancouver Island / Coast,313,Rick Hewson,CEO,rick@hupacasath.ca,(250) 724-4041,(250) 724-1232,http://www.hupacasath.ca,PO BOX 211,Port Alberni,BC,V9Y 7M7,49.265198,-124.8255,no
Huu-ay-aht First Nations,,Nuu-chah-nulth,Vancouver Island / Coast,709,,,huuayaht@pachena.ca,(250) 728-3414,(250) 728-1222,http://www.huuayaht.org,3483 3RD AVE,Port Alberni,BC,V9Y 4E4,48.800598,-125.120667,no
Iskut Band Council,Iskut,Tahltan,North Coast,747,Freddie Louie,Band Manager,feddielouie@iskut.org,(250) 234-3331,(250) 234-3200,http://www.iskutfn.ca,PO BOX 30,Iskut,BC,V0J 1K0,57.840027,-129.985291,no
K'ómoks First Nation,,Kwakwaka'wakw,Vancouver Island / Coast,330,Melinda Knox,Economic Development Officer,melinda.knox@comoxband.ca,(250) 339-4545,(250) 339-7053,http://www.comoxband.ca,3320 COMOX ROAD,Courtenay,BC,V9N 3P8,49.678237,-124.958389,no
Ka:'yu:'k't'h'/Che:k:tles7et'h',Kyuquot,Nuu-chah-nulth,Vancouver Island / Coast,552,,,,(250) 332-5259,(250) 332-5210,,GENERAL DELIVERY,Kyuquot,BC,V0P 1J0,50.089233,-127.305298,no
Kanaka Bar,,Nlaka'pamux,Thompson / Okanagan,230,Patrick Mitchell,Community Liaison,patrickmitchell@hotmail.com,(250) 455-220,(250) 455-2201,,PO BOX 402,Lytton,BC,V0K 1Z0,50.111816,-121.561584,no
Katzie,,Sto:lo,Mainland / Southwest,555,Debbie Miller,Chief Negotiator and Treaty Rep,treaty@katzie.ca,(604) 465-8961,(604) 465-5949,http://www.katzie.ca,10946 Katzie Road,Pitt Meadows,BC,V3Y 2G6,49.201504,-122.677245,no
Kispiox,Anspa yaxw,Gitxsan,North Coast,1609,Jim Leschuk,Band Manager,bandmanager@kispioxband.com,(250) 842-5248,(250) 842-5604,http://www.kispioxband.com,1336 KISPIOX VALLEY ROAD,Kispiox,BC,V0J 1Y4,55.348889,-127.696111,no
Kitasoo,Xai'xais Nation,Tsimshian,North Coast,515,,,,(250) 839-1255,(250) 839-1256,,GENERAL DELIVERY,Klemtu,BC,V0T 1L0,52.583056,-128.533056,no
Kitselas Nation,Gitselasu,Tsimshian,North Coast,624,Sonja Foss,Lands Manager,sdnabess@kitselas.com,(250) 635-5084,(250) 635-5335,http://www.kitselas.com,2225 GITAUS ROAD,Terrace,BC,V8G 0A9,54.491638,-128.584106,no
Kitsumkalum First Nation,Kitsumkalum,Tsimshian,North Coast,736,Terry Bennett,Economic Development Officer,,(250) 635-6177,(250) 635-4622,http://www.kitsumkalum.bc.ca/,PO BOX 544,Terrace,BC,V8G 4B5,54.527039,-128.670898,no
Klahoose First Nation,,Coast Salish,Vancouver Island / Coast,389,Marion McKellar,"Administrator, Finance",mmckellar@klahoose.org,(250) 935-6536,(250) 935-6997,http://www.klahoose.com,"PO BOX 9, CORTES ISLAND",Squirrel Cove,BC,V0P 1T0,50.128056,-124.936111,no
Kwadacha,,Kaska/Sekani,Northeast,538,Danny Case,"CEO, Vice-Chair Lands and Resources",danny.case8@gmail.com,(250) 563-4161,(250) 563-2668,http://www.kaskadenacouncil.com/kaska-nations/kwadacha-nation,207 - 513 AHBAU STREET,Prince George,BC,V2M 3R8,57.428889,-125.641111,no
Kwakiutl,,Kwakwaka'wakw,Vancouver Island / Coast,765,Kasey Larochelle,Economic Development,kasey.larochelle@kwakiutl.bc.ca,(250) 949-6012,(250) 949-6066,,PO BOX 1440,Port Hardy,BC,V0N 2P0,50.693889,-127.411944,no
Kwaw-kwaw-Apilt,,Sto:lo,Mainland / Southwest,44,,,info@stolotribalcouncil.ca,(604) 819-6811,(604) 792-9425,,7654 Vancouver River RD,Vancouver,BC,V2R 4L9,49.163056,-121.983056,no
Kwiakah,,Kwakwaka'wakw,Vancouver Island / Coast,22,,,frankvoelker@kwiakah.com,(250) 923 - 1556,,http://kwiakah.com,"PO BOX 437, STATION A",Campbell River,BC,V9W 5B6,50.423889,-125.158889,no
Kwikwasut'inuxw Haxwa'mis,Kwicksutaineuk & Ah-kwaw-ah-mish,Kwakwaka'wakw,Vancouver Island / Coast,300,,,jhunt@khfn.ca,(250) 974-3004,(250) 974-3007,,"PO BOX 10, 14 Gatu ST",Alert Bay,BC,V0N 1A0,50.588662,-126.929523,no
Kwikwetlem First Nation,,Sto:lo,Mainland / Southwest,82,Ron Giesbrecht,Chief and Economic Development Officer,ron@kwikwetlem.com,(604) 540-0680,(604) 535-0772,http://www.kwikwetlem.com,2 - 65 Colony Farm RD,Coquitlam,BC,V3C 5X9,49.230405,-122.8051,no
Lake Babine Nation,Nat’oot’en,Dakelh (Carrier),Nechako,2433,Pauline Goertzen,Economic Development Officer,pauline.goertzen@lakebabine.com,(250) 692-4700,(250) 692-4790,http://www.lakebabine.com,PO BOX 879,Burns Lake,BC,V0J 1E0,54.238611,-125.7625,no
Lake Cowichan First Nation,,Coast Salish,Vancouver Island / Coast,20,Chief Cyril Livingstone,Chief,cyril49@shaw.ca,(250) 749-3301,(250) 749-4286,http://www.lakecowichanfn.com,"313B Deer RD, PO BOX 159",Lake Cowichan,BC,V0R 2G0,48.825989,-124.06958,no
Langley,Kwantlen First Nation,Sto:lo,Mainland / Southwest,256,Brenda Fernie,"Director, Seyem Qwantlen Business Group",info@seyemqwantlen.ca,(604) 888-2488,(604) 888-2442,http://www.kwantlenfn.ca,"23690 GABRIEL LANE, PO BOX 108",Fort Langley,BC,V1M 2R4,49.173889,-122.561944,no
Lax Kw'alaams,Lax Kw'alaams First Nation,Tsimshian,North Coast,3696,Bob Moraes,Economic Development Officer,bob.ecdev.laxband@gmail.com,(250) 625-3293,(250) 625-3246,http://www.laxkwalaams.ca,206 Shashaak ST,Port Simpson,BC,V0V 1H0,54.551025,-130.416992,no
Leq' a: mel First Nation,Lakahahmen First Nation,Sto:lo,Mainland / Southwest,398,Barb Leggat,Economic Development Officer,barb@leqamel.ca,(604) 826-7976,(604) 826-0362,http://www.leqamel.ca,43101 Leq'a: mel Way,Deroche,BC,V0M 1G0,49.185,-122.076944,no
Lheidli T'enneh ,Lheidli T'enneh Nation,Dakelh (Carrier),Cariboo,405,Jason Morgan,Executive Director,info@lheidli.ca,(250) 963-8451,(250) 963-6954,http://www.lheidli.ca,1041 Whenun RD,Prince George,BC,V2K 5X8,54.016602,-122.62561,no
Lhoosk'uz Dene Nation,Kluskus,Dakelh (Carrier),Cariboo,234,,,,(250) 922-3290,(250) 922-3291,http://www.lhooskuz.com,PO BOX 4639,Quesnel,BC,V2J 3J8,53.09082,-124.488098,no
Lhtako Dene Nation,Red Bluff Indian Band,Dakelh (Carrier),Cariboo,175,Frank Boucher,Councillor (Economic Development),f.boucher@lhtako.ca,(250) 747-2900,(250) 747-1341,,"1515 Arbutus RD, PO BOX 4693",Quesnel,BC,V2J 3J9,52.9552,-122.4505,no
Liard River First Nation,Liard River First Nation,Liard,Nechako,,Vanessa Law,Lands and Resources Officer,ddclro@northwestel.net,250-779-3161,,,PO BOX 328,WATSON LAKE,YT,Y0A 1C0,60.060738,-128.689482 ,no
Little Shuswap Lake,Skwlax,Secwepemc,Thompson / Okanagan,344,Stewart Adamson,Band Manager,sadamson@lslib.ca,(250) 679-3203,(250) 679-3220,http://www.lslib.com/,PO BOX 1100,Chase,BC,V0E 1M0,50.876027,-119.615824,no
Lower Kootenay,Yaqan nu?kiy,Ktunaxa,Kootenay,236,,,reception@lowerkootenay.com,(250) 428-4428,(250) 428-7686,http://lowerkootenay.com,830 Simon RD,Creston,BC,V0B 1G2,49.065319,-116.519065,no
Lower Nicola,,Nlaka'pamux,Thompson / Okanagan,1216,Leesa Mike,Economic Development Officer,leesa@lnib.net,(250) 378-5157,(250) 378-6188,http://www.lnib.net,181 Nawishaskin Lane,Merritt,BC,V1K 0A7,50.138428,-120.858765,no
Lower Post First Nation,Daylu Dena Council,Caska Dena,Nechako,,Rose Schwartz,Executive Director,executivedirector@dayludenacouncil.com,250-779-3161 ,250-779-3371,,"PO Box 10, Building 29",Lower Post,BC,V0C 1W0,60.217991,-131.945801,no
Lower Similkameen,Smelqmix,Syilx (Okanagan),Thompson / Okanagan,491,,,reception@lsib.net,(250) 499-5528,(250) 499-5538,http://www.lsib.net,"PO BOX 100, 517th Ave",Keremeos,BC,V0X 1N0,49.033889,-119.721944,no
Lyackson,,Coast Salish,Vancouver Island / Coast,208,,,reception@lyackson.bc.ca,(250) 246-5019,(250) 246-5049,http://www.lyackson.bc.ca,9137 Chemainus RD,Chemainus,BC,V0R 1K5,49.041199,-123.63678,no
Lytton,,Nlaka'pamux,Thompson / Okanagan,1976,Karen Dunstan,Economic Development Manager,karend@lyttonfirstnations.ca,(250) 455-2304,(250) 455-2291,http://www.lyttonfirstnations.ca,PO BOX 20,Lytton,BC,V0K 1Z0,50.256042,-121.591064,no
Malahat First Nation,,Coast Salish,Vancouver Island / Coast,320,Lonnie Norris,Business Development Manager,lonnie.norris@malahatnation.com,(250) 743-3231,(250) 743-3251,http://www.malahatnation.com,"110 Thunder RD, RR 44",Mill Bay,BC,V0R 2P4,48.614014,-123.520203,no
Mamalilikulla-Qwe'Qwa'Sot'Em,,Kwakwaka'wakw,Vancouver Island / Coast,413,Herold Sewid,Chief,hsewid@shaw.ca,(250) 287-2955,(250) 287-4655,http://mamaband.org,1441A Old Island HWY4,Campbell River,BC,V9W 2E4,50.594238,-126.682312,no
Matsqui,,Sto:lo,Mainland / Southwest,257,Alice McKay,Chief,alice.mckay@shaw.ca,(604) 826-6145,(604) 826-7009,,PO BOX 10,Matsqui,BC,V4X 3R2,49.106944,-122.348056,no
McLeod Lake Indian Band,McLeod Lake Indian Band,Sekani,Cariboo,532,Lucy Martin,Economic Development Manager,lmartin@mlib.ca,(250) 750-4415,(250) 750-4420,http://www.mlib.ca,General Delivery,Mcleod Lake,BC,V0J 2G0,54.987681,-123.045159,no
Metlakatla First Nation,Metlakatla First Nation,Tsimshian,North Coast,889,Gordon Tomlinson,Executive Director,executive.director@metlakatla.ca,(250) 628-3234,(250) 628-9205,http://metlakatla.ca,PO BOX 459,Prince Rupert,BC,V8J 3R2,54.33783,-130.445374,no
Moricetown Band,Moricetown Band,Wet'suwet'en,North Coast,2001,Darlene Glaim,Economic Development,ecdev@moricetown.ca,250 847 2133 ext. 233,(250) 847-9291,http://www.moricetown.ca,205 Beaver RD,Smithers,BC,V0J 2N1,55.011597,-127.32251,no
Mount Currie,Lil'wat First Nation,St'át'imc,Mainland / Southwest,2155,Curt Walker,Senior Administrator,curt.walker@lilwat.ca,(604) 894-6115,(604) 894-6841,http://www.lilwat.ca,PO BOX 602,Mount Currie,BC,V0N 2K0,50.328056,-122.676111,no
Mowachah t/ Muchalaht,Yuquot,Nuu-chah-nulth,Vancouver Island / Coast,598,Michael McGee,Band Administrator,admin@yuquot.ca,(250) 283-2015,(250) 283-2335,http://www.yuquot.ca,PO BOX 459,Gold River,BC,V0P 1G0,49.684204,-126.120605,no
Musqueam,,Coast Salish,Mainland / Southwest,1340,Stephen Lee,"CEO, Musqueam Capital Corporation",slee@musqueam.bc.ca,(604) 559 5400 x 222,(604) 263-4212,http://www.musqueam.bc.ca,6735 Salish DR,Vancouver,BC,V6N 4C4,49.225165,-123.19828,no
N'Quatqua,Anderson Lake,St'át'imc,Mainland / Southwest,344,Vaughan Gabriel,Band Manager,manager@nquatqua.ca,(604) 452-3221,(604) 452-3295,http://www.nquatqua.ca,PO BOX 88,D'Arcy,BC,V0N 1L0,50.528056,-122.483889,no
Nadleh Whuten,,Dakelh (Carrier),Nechako,535,Anne Ketlo,Natural Resources Coordinator,,(250) 690-7211,(250) 690-7316,http://www.nadleh.ca,PO BOX 36,Fort Fraser,BC,V0J 1N0,54.076944,-124.601111,no
Nak'azdli Band,Nak'azdli,Dakelh (Carrier),Nechako,1872,Leonard Thomas,Economic Development Officer,reception@nakazdli.ca,(250) 996-7171,(250) 996-8010,http://www.nakazdli.ca,PO BOX 1329,Fort St. James,BC,V0J 1P0,54.431396,-124.247498,no
Namgis First Nation,,Kwakwaka'wakw,Vancouver Island / Coast,1795,Joseph Isaac,Economic Development Officer,JosephI@namgis.bc.ca,(250) 974-5556,(250) 974-5900,http://www.namgis.bc.ca,PO BOX 210,Alert Bay,BC,V0N 1A0,50.596191,-126.947571,no
Nanoose First Nation,Snaw-naw-as First Nation,Coast Salish,Vancouver Island / Coast,253,,,,(250) 390-3661,(250) 390-3365,http://www.nanoose.org,209 Mallard Way,Lantzville,BC,V0R 2H0,49.254395,-124.129089,no
Nazko First Nation,,Dakelh (Carrier),Cariboo,374,Stuart Alec,"Co-chair, Nazko Economic Development",stuartalec@nazkoband.ca,(250) 992-9085,(250) 992-7982,,PO BOX 4129,Quesnel,BC,V2J 3J2,52.954224,-123.583618,no
Nee Tahi Buhn,,Office of the Wet'suwet'en,Nechako,143,Chief Ray Morris,,chief@ntbband.ca,250-694-3494,250-694-3492,,RR 2 Site 7 Comp 28   ,  Burns Lake,BC,V0J 1E0,53.992867,-125.848692,no
Neskonlith,,Secwepemc,Thompson / Okanagan,650,Richard Manuel,Director of Economic Programs,richardmanuel@neskonlith.net,(250) 679-3295,(250) 679-5306,http://www.neskonlith.org,PO BOX 318,Chase,BC,V0E 1M0,50.783997,-119.753967,no
Nicomen,,Nlaka'pamux,Thompson / Okanagan,133,Jeff Munroe,Band Manager,bandmangager@nicomenband.com,(250) 455-2514,(250) 455-2517,,PO BOX 670,Lytton,BC,V0K 1Z0,50.265015,-121.398987,no
Nisg'aa Village of Gitlaxt'aamiks,New Aiyansh,Nisga'a ,North Coast,,Darlene Morgan,Chief Administrative Officer,darlene@peopleofthegrizzly.com,(250)633-3100,,http://www.gitlaxtaamiks.com/,,,BC,,55.208233,-129.083948,no
Nisga'a Village of Gingolx,Kincolith,Nisga'a ,North Coast,1981,Floyde Stevens,Economic Development Officer,Floyde.stevens@gingolx.net,(250) 326-4212,(250) 326-4208,http://www.gingolx.ca/,607 Front St.,Gingolx,BC,V0V1B0,54.996033,-129.95697,no
Nisga'a Village of New Aiyansh,,Nisga'a,North Coast,1842,Darlene Morgan,Chief Administrative Officer,darlene@peopleofthegrizzly.com,(250) 633-2215,(250) 633-2271,,PO BOX 233,New Aiyansh,BC,V0J 1A0,55.197021,-129.070984,no
Nisga’a Village of Gitwinksihlkw,Nisga’a Village of Gitwinksihlkw,Nisga'a,North Coast,397,Harry Nyce,Chief Administrative Officer,harry.nyce@gitwinksihlkw.ca,(250) 633-2294,(250) 633-2539,,PO BOX 1,Gitwinksihlkw,BC,V0J 3T0,55.192993,-129.221985,no
Nisga’a Village of Laxgalt’sap,Nisga’a Village of Laxgalt’sap,Nisga'a,North Coast,1769,Andy Robinson,Chief Administrative Officer,cao@lbggov.ca,(250) 621-3213,(250) 621-3320,,PO BOX 200,Greenville,BC,V0J 1X0,55.037842,-129.555786,no
