field,type,description
hshldincome_60k_70k,integer,"HSHLDINCOME_60K_70K: Household total income in 2010 of private households - $60,000 to $79,999 (count). e.g., 2850"
hshldincome_80k_90k,integer,"HSHLDINCOME_80K_90K: Household total income in 2010 of private households - $80,000 to $99,999 (count). e.g., 1850"
hshldincome_100k_125k,integer,"HSHLDINCOME_100K_125K: Household total income in 2010 of private households - $100,000 to $124,999 (count). e.g., 1375"
hshldincome_125k_150k,integer,"HSHLDINCOME_125K_150K: Household total income in 2010 of private households - $125,000 to $149,999 (count). e.g., 455"
hshldincome_150kplus,integer,"HSHLDINCOME_150KPLUS: Household total income in 2010 of private households - $150,000 and over (count). e.g., 445"
wrkfrc_ed_u12,integer,"WRKFRC_ED_U12: Education (25-64) - No certificate, diploma or degree. e.g., 4855"
wrkfrc_ed_12,integer,"WRKFRC_ED_12: Education (25-64) - High school diploma or equivalent. e.g., 6780"
wrkfrc_ed_asscdeg,integer,"WRKFRC_ED_ASSCDEG: Education (25-64) - Apprenticeship or trades certificate or diploma; Apprenticeship or trades certificate or diploma; University certificate or diploma below bachelor level; . e.g., 4385"
wrkfrc_ed_collegegrad_gt16yrs,integer,"WRKFRC_ED_COLLEGEGRAD_GT16YRS: Education (25-64) - University certificate, diploma or degree above bachelor level. e.g., 1135"
wrkfrc_ed_collegegrad_16yrs,integer,"WRKFRC_ED_COLLEGEGRAD_16YRS: Education (25-64) - Bachelor's degree. e.g., 2305"
industry_agriculture,integer,"INDUSTRY_AGRICULTURE: Industry - 11 Agriculture, forestry, fishing and hunting. e.g., 150"
industry_mining,integer,"INDUSTRY_MINING: Industry - 21 Mining, quarrying, and oil and gas extraction. e.g., 325"
industry_utilities,integer,"INDUSTRY_UTILITIES: Industry - 22 Utilities. e.g., 45"
industry_construction,integer,"INDUSTRY_CONSTRUCTION: Industry - 23 Construction. e.g., 615"
industry_manufacturing,integer,"INDUSTRY_MANUFACTURING: Industry - 31-33 Manufacturing. e.g., 445"
industry_wholesale,integer,"INDUSTRY_WHOLESALE: Industry - 41 Wholesale trade. e.g., 280"
industry_retail,integer,"INDUSTRY_RETAIL: Industry - 44-45 Retail trade. e.g., 1605"
industry_transport,integer,"INDUSTRY_TRANSPORT: Industry - 48-49 Transportation and warehousing. e.g., 465"
industry_info_cultural,integer,"INDUSTRY_INFO_CULTURAL: Industry - 51 Information and cultural industries. e.g., 255"
industry_finance_insurance,integer,"INDUSTRY_FINANCE_INSURANCE: Industry - 52 Finance and insurance. e.g., 365"
industry_realestate,integer,"INDUSTRY_REALESTATE: Industry - 53 Real estate and rental and leasing. e.g., 170"
industry_professional,integer,"INDUSTRY_PROFESSIONAL: Industry - 54 Professional, scientific and technical services. e.g., 465"
industry_management,integer,"INDUSTRY_MANAGEMENT: Industry - 55 Management of companies and enterprises. e.g., 0"
industry_admin_waste,integer,"INDUSTRY_ADMIN_WASTE: Industry - 56 Administrative and support, waste management and remediation services. e.g., 355"
industry_education,integer,"INDUSTRY_EDUCATION: Industry - 61 Educational services. e.g., 755"
industry_health,integer,"INDUSTRY_HEALTH: Industry - 62 Health care and social assistance. e.g., 1290"
industry_arts_rec,integer,"INDUSTRY_ARTS_REC: Industry - 71 Arts, entertainment and recreation. e.g., 200"
industry_accomm_food,integer,"INSUSTRY_ACCOMM_FOOD: Industry - 72 Accommodation and food services. e.g., 835"
industry_other,integer,"INDUSTRY_OTHER: Industry - 81 Other services (except public administration). e.g., 610"
industry_public_admin,integer,"INDUSTRY_PUBLIC_ADMIN: Industry - 91 Public administration. e.g., 490"
occupation_management,integer,"OCCUPATION_MANAGEMENT: Occupation - 0 Management occupations. e.g., 940"
occupation_business,integer,"OCCUPATION_BUSINESS: Occupation - 1 Business, finance and administration occupations. e.g., 1410"
occupation_science,integer,"OCCUPATION_SCIENCE: Occupation - 2 Natural and applied sciences and related occupations. e.g., 370"
occupation_health,integer,"OCCUPATION_HEALTH: Occupation - 3 Health occupations. e.g., 715"
occupation_education_law,integer,"OCCUPATION_EDUCATION_LAW: Occupation - 4 Occupations in education, law and social, community and government services. e.g., 1195"
occupation_art_culture_rec,integer,"OCCUPATION_ART_CULTURE_REC: Occupation - 5 Occupations in art, culture, recreation and sport. e.g., 175"
occupation_sales_service,integer,"OCCUPATION_SALES_SERVICE: Occupation - 6 Sales and service occupations. e.g., 2760"
occupation_trades,integer,"OCCUPATION_TRADES: Occupation - 7 Trades, transport and equipment operators and related occupations. e.g., 1620"
occupation_resources_ag,integer,"OCCUPATION_RESOURCES_AG: Occupation - 8 Natural resources, agriculture and related production occupations. e.g., 195"
occupation_manufacturing,integer,"OCCUPATION_MANUFACTURING: Occupation - 9 Occupations in manufacturing and utilities. e.g., 320"
commute_median,float,"COMMUTE_MEDIAN: Median commuting duration (minutes). e.g., 10.2"
laborforce_participatn_male,float,"LABORFORCE_PARTICIPATN_MALE: Labour force participation rate - male. e.g., 67.3"
laborforce_participatn_female,float,"LABORFORCE_PARTICIPATN_FEMALE: Labour force participation rate - female. e.g., 59.3"
