census_subdivision_id,census_year,clab_id,census_subdivision_name,top_elected_official,n_elected_official
5921007,2011,,Nanaimo,Bill McKay,9
5953023,2011,,Prince George,Lyn Hall,9
5915015,2011,,Richmond,Malcolm Brodie,9
5917021,2011,,Saanich,Richard Atwell,9
5915004,2011,,Surrey,Linda Hepner,9
5917034,2011,,Victoria,Lisa Helps,9
5915022,2011,,Vancouver,Gregor Robertson,11
5901043,2011,,Canal Flats,(null),(null)
5947026,2011,,Queen Charlotte,(null),(null)
5901040,2011,,Radium Hot Springs,(null),(null)
5933045,2011,,Sun Peaks Mountain,(null),(null)
,,,Jumbo Glacier,,
