noc_2011_code,census_year,noc_2011_description,bc_low_wage,bc_median_wage,bc_high_wage,bc_data_source,bc_reference_period,bc_annual_wage,vic_low_wage,vic_median_wage,vic_high_wage,vic_data_source,vic_reference_period,vic_annual_wage,msw_low_wage,msw_median_wage,msw_high_wage,msw_data_source,msw_reference_period,msw_annual_wage,tok_low_wage,tok_median_wage,tok_high_wage,tok_data_source,tok_reference_period,tok_annual_wage,kot_low_wage,kot_median_wage,kot_high_wage,kot_data_source,kot_reference_period,kot_annual_wage,car_low_wage,car_median_wage,car_high_wage,car_data_source,car_reference_period,car_annual_wage,north_coast_low_wage,north_coast_median_wage,north_coast_high_wage,north_coast_data_source,north_coast_reference_period,north_coast_annual_wage,nechako_low_wage,nechako_median_wage,nechako_high_wage,nechako_data_source,nechako_reference_period,nechako_annual_wage,ne_coast_low_wage,ne_median_wage,ne_high_wage,ne_data_source,ne_reference_period,ne_annual_wage
121.0,2011,"Insurance, real estate and financial brokerage managers",20.7,43.27,61.54,Labour Force Survey,2012-2013,HOUR,20.19,44.62,62.98,Labour Force Survey - Statistics Canada,2011-2012,HOUR,20.7,37.36,61.54,Labour Force Survey,2012-2013,HOUR,20.7,43.27,61.54,Labour Force Survey,2012-2013,HOUR,20.7,43.27,61.54,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
122.0,2011,"Banking, credit and other investment managers",24.04,39.49,54.95,Labour Force Survey,2012-2013,HOUR,24.04,39.49,54.95,Labour Force Survey,2012-2013,HOUR,25.27,42.05,56.41,Labour Force Survey,2012-2013,HOUR,24.04,39.49,54.95,Labour Force Survey,2012-2013,HOUR,24.04,39.49,54.95,Labour Force Survey,2012-2013,HOUR,24.04,39.49,54.95,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,18.27,35.38,54.95,Labour Force Survey - Statistics Canada,2011-2012,HOUR
124.0,2011,"Advertising, marketing and public relations managers",20.51,34.62,62.5,Labour Force Survey,2012-2013,HOUR,20.51,34.62,62.5,Labour Force Survey,2012-2013,HOUR,20.67,34.62,64.1,Labour Force Survey,2012-2013,HOUR,20.51,34.62,62.5,Labour Force Survey,2012-2013,HOUR,18.533,29.431,59.1847,National Household Survey,2011,HOUR,20.51,34.62,62.5,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,13.74,35.44,47.7,2006 Census - Statistics Canada,2006,HOUR
125.0,2011,Other business services managers,19.5,31.0945,48.3161,Employment Insurance Data,2012-2013,HOUR,19.5,31.0945,48.3161,Employment Insurance Data,2012-2013,HOUR,18.65,33.65,50.96,Labour Force Survey,2012-2013,HOUR,18.2,27.47,37.77,Employment Insurance Data,2010-2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
131.0,2011,Telecommunication carriers managers,23.55,39.857,56.3684,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,22.65,41.816,56.7127,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
132.0,2011,Postal and courier services managers,11.486,33.921,52.795,National Household Survey,2011,HOUR,10.25,25.12,46.16,2006 Census - Statistics Canada,2006,HOUR,11.693,35.724,55.1909,National Household Survey,2011,HOUR,10.25,19.66,44.84,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
211.0,2011,Engineering managers,19.5,50.0,71.1,Labour Force Survey,2012-2013,HOUR,19.5,50.0,71.1,Labour Force Survey,2012-2013,HOUR,19.5,48.08,71.1,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,27.35,49.52,58.46,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
212.0,2011,Architecture and science managers,16.146,39.041,74.6203,National Household Survey,2011,HOUR,23.1348,38.076,48.37,Employment Insurance Data,2012-2013,HOUR,20.895,40.558,82.2435,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
213.0,2011,Computer and information systems managers,21.15,45.19,60.1,Labour Force Survey,2012-2013,HOUR,21.15,45.19,60.1,Labour Force Survey,2012-2013,HOUR,20.0,45.19,57.69,Labour Force Survey,2012-2013,HOUR,20.0,43.27,60.1,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
311.0,2011,Managers in health care,20.22,37.9,60.51,Labour Force Survey,2012-2013,HOUR,20.22,37.9,60.51,Labour Force Survey,2012-2013,HOUR,20.22,37.9,60.51,Labour Force Survey,2012-2013,HOUR,20.22,37.9,60.51,Labour Force Survey,2012-2013,HOUR,24.65,44.13,61.54,Labour Force Survey - Statistics Canada,2011-2012,HOUR,24.65,44.13,61.54,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
411.0,2011,Government managers - health and social policy development and program administration,28.844,43.113,62.4966,National Household Survey,2011,HOUR,35.393,42.515,56.1324,National Household Survey,2011,HOUR,28.023,44.767,69.477,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,27.62,47.12,58.14,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
412.0,2011,"Government managers - economic analysis, policy development and program administration",23.08,42.0,62.05,Labour Force Survey,2012-2013,HOUR,27.62,43.27,68.38,Labour Force Survey,2012-2013,HOUR,23.08,42.0,62.05,Labour Force Survey,2012-2013,HOUR,23.08,42.0,62.05,Labour Force Survey,2012-2013,HOUR,27.62,47.12,58.14,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
413.0,2011,Government managers - education policy development and program administration,34.774,48.401,64.7927,National Household Survey,2011,HOUR,20.78,34.56,48.74,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
414.0,2011,Other managers in public administration,26.55,46.7,62.5,Labour Force Survey,2012-2013,HOUR,26.55,46.7,62.5,Labour Force Survey,2012-2013,HOUR,26.55,46.7,62.5,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
421.0,2011,Administrators - post-secondary education and vocational training,21.39,36.62,57.44,Labour Force Survey,2012-2013,HOUR,21.39,36.62,57.44,Labour Force Survey,2012-2013,HOUR,21.39,36.62,57.44,Labour Force Survey,2012-2013,HOUR,21.39,36.62,57.44,Labour Force Survey,2012-2013,HOUR,18.0,36.1,58.24,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,18.0,36.1,58.24,Labour Force Survey - Statistics Canada,2011-2012,HOUR
422.0,2011,School principals and administrators of elementary and secondary education,24.04,40.87,52.88,Labour Force Survey,2012-2013,HOUR,24.04,40.87,52.88,Labour Force Survey,2012-2013,HOUR,24.04,39.42,55.9,Labour Force Survey,2012-2013,HOUR,24.04,40.87,52.88,Labour Force Survey,2012-2013,HOUR,24.04,40.87,52.88,Labour Force Survey,2012-2013,HOUR,24.04,40.87,52.88,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
423.0,2011,"Managers in social, community and correctional services",19.23,30.0,47.69,Labour Force Survey,2012-2013,HOUR,19.23,30.0,47.69,Labour Force Survey,2012-2013,HOUR,19.51,28.85,48.08,Labour Force Survey - Statistics Canada,2011-2012,HOUR,19.23,30.0,47.69,Labour Force Survey,2012-2013,HOUR,19.23,29.33,48.08,Labour Force Survey - Statistics Canada,2011-2012,HOUR,21.457,35.747,45.323,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
431.0,2011,Commissioned police officers,10.25,35.56,55.82,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,28.27,41.84,58.0,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
432.0,2011,Fire chiefs and senior firefighting officers,34.289,55.439,64.6805,National Household Survey,2011,HOUR,25.04,34.19,52.44,2006 Census - Statistics Canada,2006,HOUR,39.695,59.607,70.7896,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
433.0,2011,Commissioned officers of the Canadian Forces,18.235,35.096,50.8735,National Household Survey,2011,HOUR,20.255,34.1,48.7717,National Household Survey,2011,HOUR,15.739,40.625,64.2177,National Household Survey,2011,HOUR,11.36,24.09,32.96,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
511.0,2011,"Library, archive, museum and art gallery managers",10.936,30.256,51.0294,National Household Survey,2011,HOUR,13.925,32.727,53.3626,National Household Survey,2011,HOUR,20.251,36.275,53.562,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
512.0,2011,"Managers - publishing, motion pictures, broadcasting and performing arts",18.5,33.65,44.0,Labour Force Survey,2012-2013,HOUR,18.5,33.65,44.0,Labour Force Survey,2012-2013,HOUR,18.5,33.65,44.0,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
513.0,2011,"Recreation, sports and fitness program and service directors",18.5,33.65,44.0,Labour Force Survey,2012-2013,HOUR,14.42,28.85,51.92,Labour Force Survey - Statistics Canada,2011-2012,HOUR,18.5,33.65,44.0,Labour Force Survey,2012-2013,HOUR,13.0,19.42,30.95,Employment Insurance Data,2011-2012,HOUR,14.79,23.96,32.27,2006 Census - Statistics Canada,2006,HOUR,12.39,26.98,38.79,2006 Census - Statistics Canada,2006,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
601.0,2011,Corporate sales managers,20.51,34.62,62.5,Labour Force Survey,2012-2013,HOUR,20.51,34.62,62.5,Labour Force Survey,2012-2013,HOUR,20.67,34.62,64.1,Labour Force Survey,2012-2013,HOUR,20.51,34.62,62.5,Labour Force Survey,2012-2013,HOUR,18.533,29.431,59.1847,National Household Survey,2011,HOUR,20.51,34.62,62.5,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,13.74,35.44,47.7,2006 Census - Statistics Canada,2006,HOUR
621.0,2011,Retail and wholesale trade managers,13.0,25.2,44.87,Labour Force Survey,2012-2013,HOUR,13.0,23.63,45.67,Labour Force Survey,2012-2013,HOUR,12.75,25.96,44.87,Labour Force Survey,2012-2013,HOUR,14.0,27.0,44.87,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,13.0,25.2,44.87,Labour Force Survey,2012-2013,HOUR,13.0,25.2,44.87,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,10.25,27.48,47.94,National Household Survey,2011,HOUR
631.0,2011,Restaurant and food service managers,12.0,18.5,36.06,Labour Force Survey,2012-2013,HOUR,12.0,18.5,36.06,Labour Force Survey,2012-2013,HOUR,11.5,17.76,36.06,Labour Force Survey,2012-2013,HOUR,10.25,18.698,28.3987,National Household Survey,2011,HOUR,10.25,19.45,28.3386,National Household Survey,2011,HOUR,12.0,18.5,36.06,Labour Force Survey,2012-2013,HOUR,10.25,20.597,39.7817,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,12.0,18.5,36.06,Labour Force Survey,2012-2013,HOUR
632.0,2011,Accommodation service managers,15.0,20.19,41.96,Labour Force Survey,2012-2013,HOUR,15.0,20.19,41.96,Labour Force Survey,2012-2013,HOUR,15.0,20.19,41.96,Labour Force Survey,2012-2013,HOUR,15.0,20.19,41.96,Labour Force Survey,2012-2013,HOUR,13.25,17.5,29.0099,Employment Insurance Data,2012-2013,HOUR,15.0,20.19,41.96,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
651.0,2011,"Managers in customer and personal services, n.e.c.",12.82,21.15,38.0,Labour Force Survey,2012-2013,HOUR,12.82,21.15,38.0,Labour Force Survey,2012-2013,HOUR,12.82,21.15,38.0,Labour Force Survey,2012-2013,HOUR,12.82,21.15,38.0,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
711.0,2011,Construction managers,20.0,39.0,60.0,Labour Force Survey,2012-2013,HOUR,20.0,39.0,60.0,Labour Force Survey,2012-2013,HOUR,19.49,41.67,60.1,Labour Force Survey,2012-2013,HOUR,20.0,39.0,60.0,Labour Force Survey,2012-2013,HOUR,20.0,39.6779,58.0884,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,12.13,39.63,76.54,National Household Survey,2011,HOUR
712.0,2011,Home building and renovation managers,10.25,18.061,43.2821,National Household Survey,2011,HOUR,10.25,19.631,41.3416,National Household Survey,2011,HOUR,10.25,18.229,44.8587,National Household Survey,2011,HOUR,10.25,20.262,32.4418,National Household Survey,2011,HOUR,13.0,17.5,26.0,Employment Insurance Data,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
714.0,2011,Facility operation and maintenance managers,17.0,32.0,50.0,Labour Force Survey,2012-2013,HOUR,17.0,32.0,50.0,Labour Force Survey,2012-2013,HOUR,17.5,32.0,51.92,Labour Force Survey,2012-2013,HOUR,14.5,32.0,55.77,Labour Force Survey - Statistics Canada,2011-2012,HOUR,14.5,32.0,55.77,Labour Force Survey - Statistics Canada,2011-2012,HOUR,16.997,35.774,51.2178,National Household Survey,2011,HOUR,17.0,32.0,50.0,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,14.5,32.0,55.77,Labour Force Survey - Statistics Canada,2011-2012,HOUR
731.0,2011,Managers in transportation,23.5,37.0,52.88,Labour Force Survey,2012-2013,HOUR,23.5,37.0,52.88,Labour Force Survey,2012-2013,HOUR,23.74,38.46,57.69,Labour Force Survey,2012-2013,HOUR,21.0,36.61,54.95,Labour Force Survey - Statistics Canada,2011-2012,HOUR,21.0,36.61,54.95,Labour Force Survey - Statistics Canada,2011-2012,HOUR,21.0,36.61,54.95,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,21.0,36.61,54.95,Labour Force Survey - Statistics Canada,2011-2012,HOUR
811.0,2011,Managers in natural resources production and fishing,19.78,42.74,72.12,Labour Force Survey,2011-2012,HOUR,17.7114,36.0306,49.9219,Employment Insurance Data,2012-2013,HOUR,13.099,51.574,107.556,National Household Survey,2011,HOUR,19.78,42.74,72.12,Labour Force Survey - Statistics Canada,2011-2012,HOUR,32.463,43.907,95.0323,National Household Survey,2011,HOUR,17.7114,36.0306,49.9219,Employment Insurance Data,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,19.78,42.74,72.12,Labour Force Survey,2011-2012,HOUR
821.0,2011,Managers in agriculture,10.25,13.0,19.65,Employment Insurance Data,2012-2013,HOUR,11.0,15.0,19.05,Employment Insurance Data,2011-2012,HOUR,10.25,12.0,19.35,Employment Insurance Data,2012-2013,HOUR,11.0,14.5,18.0,Employment Insurance Data,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
822.0,2011,Managers in horticulture,10.25,15.066,35.6846,National Household Survey,2011,HOUR,10.25,12.75,24.34,2006 Census - Statistics Canada,2006,HOUR,10.25,17.533,37.0884,National Household Survey,2011,HOUR,10.33,12.65,16.67,Employment Insurance Data,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
823.0,2011,Managers in aquaculture,10.25,24.208,34.4272,National Household Survey,2011,HOUR,10.25,20.711,32.5724,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
911.0,2011,Manufacturing managers,19.23,36.06,57.69,Labour Force Survey,2012-2013,HOUR,20.0,36.06,57.69,Labour Force Survey - Statistics Canada,2011-2012,HOUR,18.0,37.5,57.69,Labour Force Survey,2012-2013,HOUR,19.23,36.06,57.69,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,23.393,39.731,67.5796,National Household Survey,2011,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
912.0,2011,Utilities managers,15.204,45.26,85.7918,National Household Survey,2011,HOUR,23.827,49.52,92.2437,National Household Survey,2011,HOUR,23.575,47.55,100.482,National Household Survey,2011,HOUR,15.577,37.579,53.7995,National Household Survey,2011,HOUR,24.76,40.02,63.19,Labour Force Survey - Statistics Canada,2011-2012,HOUR,24.76,40.02,63.19,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
1111.0,2011,Financial auditors and accountants,16.83,28.85,47.63,Labour Force Survey,2012-2013,HOUR,17.0,26.37,47.12,Labour Force Survey,2012-2013,HOUR,16.0,28.85,48.08,Labour Force Survey,2012-2013,HOUR,16.83,27.0,38.46,Labour Force Survey,2012-2013,HOUR,16.83,28.85,47.63,Labour Force Survey,2012-2013,HOUR,16.83,28.85,47.63,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,16.83,28.85,47.63,Labour Force Survey,2012-2013,HOUR
1112.0,2011,Financial and investment analysts,23.08,33.65,52.88,Labour Force Survey,2012-2013,HOUR,21.895,29.468,41.4923,National Household Survey,2011,HOUR,23.08,35.26,56.41,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
1113.0,2011,"Securities agents, investment dealers and brokers",10.61,24.04,53.33,Labour Force Survey,2012-2013,HOUR,10.25,24.286,58.873,National Household Survey,2011,HOUR,10.25,24.04,57.69,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
1114.0,2011,Other financial officers,19.95,32.97,57.69,Labour Force Survey,2012-2013,HOUR,20.0,37.0,60.58,Labour Force Survey,2012-2013,HOUR,19.23,32.97,57.69,Labour Force Survey,2012-2013,HOUR,19.95,32.97,57.69,Labour Force Survey,2012-2013,HOUR,10.25,26.896,76.6088,National Household Survey,2011,HOUR,17.5,30.77,52.88,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
1121.0,2011,Human resources professionals,20.0,33.0,51.47,Labour Force Survey,2012-2013,HOUR,20.0,33.0,51.47,Labour Force Survey,2012-2013,HOUR,22.5,34.87,57.69,Labour Force Survey,2012-2013,HOUR,21.63,30.0,45.67,Labour Force Survey - Statistics Canada,2011-2012,HOUR,,,,NA,NA,HOUR,20.0,33.0,51.47,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,21.63,30.0,45.67,Labour Force Survey - Statistics Canada,2011-2012,HOUR
1122.0,2011,Professional occupations in business management consulting,18.0,28.85,51.28,Labour Force Survey,2012-2013,HOUR,18.0,28.85,51.28,Labour Force Survey,2012-2013,HOUR,18.0,28.85,55.0,Labour Force Survey,2012-2013,HOUR,18.0,28.85,51.28,Labour Force Survey,2012-2013,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,,,,NA,NA,HOUR,NA,NA,NA,NA,NA,HOUR
