census_year,noc_code,noc_description,wage_period,bc_low_10thpctl,bc_hgh_90thpctl,bc_median_wage,bc_ref_period,bc_data_source,vancvr_isld_coast_low_10thpctl,vancvr_isld_coast_hgh_90thpctl,vancvr_isld_coast_median_wage,vancvr_isld_coast_ref_period,vancvr_isld_coast_data_source,north_east_low_10thpctl,north_east_hgh_90thpctl,north_east_median_wage,north_east_ref_period,north_east_data_source,north_coast_low_10thpctl,north_coast_hgh_90thpctl,north_coast_median_wage,north_coast_ref_period,north_coast_data_source,thompson_okanagan_low_10thpctl,thompson_okanagan_hgh_90thpctl,thompson_okanagan_median_wage,thompson_okanagan_ref_period,thompson_okanagan_data_source,cariboo_low_10thpctl,cariboo_hgh_90thpctl,cariboo_median_wage,cariboo_ref_period,cariboo_data_source,mainland_sthwest_low_10thpctl,mainland_sthwest_hgh_90thpctl,mainland_southwest_median_wage,mainland_sthwest_ref_period,mainland_sthwest_data_source,kootenays_low_10thpctl,kootenays_hgh_90thpctl,kootenays_median_wage,kootenays_ref_period,kootenays_data_source,nechako_low_10thpctl,nechako_hgh_90thpctl,nechako_median_wage,nechako_data_source,nechako_ref_period
2011,511,"Library, archive, museum and art gallery managers",HOUR,10.936,51.0294,30.256,2011,National Household Survey,13.925,53.3626,32.727,2011,National Household Survey,,,,,,,,,,,,,,,,,,,,,20.251,53.562,36.275,2011,National Household Survey,,,,,,,,,,
2011,512,"Managers - publishing, motion pictures, broadcasting and performing arts",HOUR,18.5,44,33.65,2012-2013,Labour Force Survey,18.5,44,33.65,2012-2013,Labour Force Survey,,,,,,,,,,,,,,,,,,,,,18.5,44,33.65,2012-2013,Labour Force Survey,,,,,,,,,,
2011,513,"Recreation, sports and fitness program and service directors",HOUR,18.5,44,33.65,2012-2013,Labour Force Survey,14.42,51.92,28.85,2011-2012,Labour Force Survey - Statistics Canada,,,,,,,,,,,13,30.95,19.42,2011-2012,Employment Insurance Data,12.39,38.79,26.98,2006,2006 Census - Statistics Canada,18.5,44,33.65,2012-2013,Labour Force Survey,14.79,32.27,23.96,2006,2006 Census - Statistics Canada,,,,,
2011,601,Corporate sales managers,HOUR,20.51,62.5,34.62,2012-2013,Labour Force Survey,20.51,62.5,34.62,2012-2013,Labour Force Survey,13.74,47.7,35.44,2006,2006 Census - Statistics Canada,,,,,,20.51,62.5,34.62,2012-2013,Labour Force Survey,20.51,62.5,34.62,2012-2013,Labour Force Survey,20.67,64.1,34.62,2012-2013,Labour Force Survey,18.533,59.1847,29.431,2011,National Household Survey,,,,,
2011,621,Retail and wholesale trade managers,HOUR,13,44.87,25.2,2012-2013,Labour Force Survey,13,45.67,23.63,2012-2013,Labour Force Survey,10.25,47.94,27.48,2011,National Household Survey,13,44.87,25.2,2012-2013,Labour Force Survey,14,44.87,27,2012-2013,Labour Force Survey,13,44.87,25.2,2012-2013,Labour Force Survey,12.75,44.87,25.96,2012-2013,Labour Force Survey,,,,,,,,,,
2011,631,Restaurant and food service managers,HOUR,12,36.06,18.5,2012-2013,Labour Force Survey,12,36.06,18.5,2012-2013,Labour Force Survey,12,36.06,18.5,2012-2013,Labour Force Survey,10.25,39.7817,20.597,2011,National Household Survey,10.25,28.3987,18.698,2011,National Household Survey,12,36.06,18.5,2012-2013,Labour Force Survey,11.5,36.06,17.76,2012-2013,Labour Force Survey,10.25,28.3386,19.45,2011,National Household Survey,,,,,
2011,632,Accommodation service managers,HOUR,15,41.96,20.19,2012-2013,Labour Force Survey,15,41.96,20.19,2012-2013,Labour Force Survey,,,,,,,,,,,15,41.96,20.19,2012-2013,Labour Force Survey,15,41.96,20.19,2012-2013,Labour Force Survey,15,41.96,20.19,2012-2013,Labour Force Survey,13.25,29.0099,17.5,2012-2013,Employment Insurance Data,,,,,
2011,651,"Managers in customer and personal services, n.e.c.",HOUR,12.82,38,21.15,2012-2013,Labour Force Survey,12.82,38,21.15,2012-2013,Labour Force Survey,,,,,,,,,,,12.82,38,21.15,2012-2013,Labour Force Survey,,,,,,12.82,38,21.15,2012-2013,Labour Force Survey,,,,,,,,,,
2011,711,Construction managers,HOUR,20,60,39,2012-2013,Labour Force Survey,20,60,39,2012-2013,Labour Force Survey,12.13,76.54,39.63,2011,National Household Survey,,,,,,20,60,39,2012-2013,Labour Force Survey,,,,,,19.49,60.1,41.67,2012-2013,Labour Force Survey,20,58.0884,39.6779,2012-2013,Employment Insurance Data,,,,,
2011,712,Home building and renovation managers,HOUR,10.25,43.2821,18.061,2011,National Household Survey,10.25,41.3416,19.631,2011,National Household Survey,,,,,,,,,,,10.25,32.4418,20.262,2011,National Household Survey,,,,,,10.25,44.8587,18.229,2011,National Household Survey,13,26,17.5,2011-2012,Employment Insurance Data,,,,,
2011,714,Facility operation and maintenance managers,HOUR,17,50,32,2012-2013,Labour Force Survey,17,50,32,2012-2013,Labour Force Survey,14.5,55.77,32,2011-2012,Labour Force Survey - Statistics Canada,17,50,32,2012-2013,Labour Force Survey,14.5,55.77,32,2011-2012,Labour Force Survey - Statistics Canada,16.997,51.2178,35.774,2011,National Household Survey,17.5,51.92,32,2012-2013,Labour Force Survey,14.5,55.77,32,2011-2012,Labour Force Survey - Statistics Canada,,,,,
2011,731,Managers in transportation,HOUR,23.5,52.88,37,2012-2013,Labour Force Survey,23.5,52.88,37,2012-2013,Labour Force Survey,21,54.95,36.61,2011-2012,Labour Force Survey - Statistics Canada,,,,,,21,54.95,36.61,2011-2012,Labour Force Survey - Statistics Canada,21,54.95,36.61,2011-2012,Labour Force Survey - Statistics Canada,23.74,57.69,38.46,2012-2013,Labour Force Survey,21,54.95,36.61,2011-2012,Labour Force Survey - Statistics Canada,,,,,
2011,811,Managers in natural resources production and fishing,HOUR,19.78,72.12,42.74,2011-2012,Labour Force Survey,17.7114,49.9219,36.0306,2012-2013,Employment Insurance Data,19.78,72.12,42.74,2011-2012,Labour Force Survey,,,,,,19.78,72.12,42.74,2011-2012,Labour Force Survey - Statistics Canada,17.7114,49.9219,36.0306,2012-2013,Employment Insurance Data,13.099,107.556,51.574,2011,National Household Survey,32.463,95.0323,43.907,2011,National Household Survey,,,,,
2011,821,Managers in agriculture,HOUR,10.25,19.65,13,2012-2013,Employment Insurance Data,11,19.05,15,2011-2012,Employment Insurance Data,,,,,,,,,,,11,18,14.5,2011-2012,Employment Insurance Data,,,,,,10.25,19.35,12,2012-2013,Employment Insurance Data,,,,,,,,,,
2011,822,Managers in horticulture,HOUR,10.25,35.6846,15.066,2011,National Household Survey,10.25,24.34,12.75,2006,2006 Census - Statistics Canada,,,,,,,,,,,10.33,16.67,12.65,2011-2012,Employment Insurance Data,,,,,,10.25,37.0884,17.533,2011,National Household Survey,,,,,,,,,,
2011,823,Managers in aquaculture,HOUR,10.25,34.4272,24.208,2011,National Household Survey,10.25,32.5724,20.711,2011,National Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,911,Manufacturing managers,HOUR,19.23,57.69,36.06,2012-2013,Labour Force Survey,20,57.69,36.06,2011-2012,Labour Force Survey - Statistics Canada,,,,,,,,,,,19.23,57.69,36.06,2012-2013,Labour Force Survey,23.393,67.5796,39.731,2011,National Household Survey,18,57.69,37.5,2012-2013,Labour Force Survey,,,,,,,,,,
2011,912,Utilities managers,HOUR,15.204,85.7918,45.26,2011,National Household Survey,23.827,92.2437,49.52,2011,National Household Survey,,,,,,,,,,,15.577,53.7995,37.579,2011,National Household Survey,24.76,63.19,40.02,2011-2012,Labour Force Survey - Statistics Canada,23.575,100.482,47.55,2011,National Household Survey,24.76,63.19,40.02,2011-2012,Labour Force Survey - Statistics Canada,,,,,
2011,1111,Financial auditors and accountants,HOUR,16.83,47.63,28.85,2012-2013,Labour Force Survey,17,47.12,26.37,2012-2013,Labour Force Survey,16.83,47.63,28.85,2012-2013,Labour Force Survey,,,,,,16.83,38.46,27,2012-2013,Labour Force Survey,16.83,47.63,28.85,2012-2013,Labour Force Survey,16,48.08,28.85,2012-2013,Labour Force Survey,16.83,47.63,28.85,2012-2013,Labour Force Survey,,,,,
2011,1112,Financial and investment analysts,HOUR,23.08,52.88,33.65,2012-2013,Labour Force Survey,21.895,41.4923,29.468,2011,National Household Survey,,,,,,,,,,,,,,,,,,,,,23.08,56.41,35.26,2012-2013,Labour Force Survey,,,,,,,,,,
2011,1113,"Securities agents, investment dealers and brokers",HOUR,10.61,53.33,24.04,2012-2013,Labour Force Survey,10.25,58.873,24.286,2011,National Household Survey,,,,,,,,,,,,,,,,,,,,,10.25,57.69,24.04,2012-2013,Labour Force Survey,,,,,,,,,,
2011,1114,Other financial officers,HOUR,19.95,57.69,32.97,2012-2013,Labour Force Survey,20,60.58,37,2012-2013,Labour Force Survey,,,,,,,,,,,19.95,57.69,32.97,2012-2013,Labour Force Survey,17.5,52.88,30.77,2011-2012,Labour Force Survey - Statistics Canada,19.23,57.69,32.97,2012-2013,Labour Force Survey,10.25,76.6088,26.896,2011,National Household Survey,,,,,
2011,1121,Human resources professionals,HOUR,20,51.47,33,2012-2013,Labour Force Survey,20,51.47,33,2012-2013,Labour Force Survey,21.63,45.67,30,2011-2012,Labour Force Survey - Statistics Canada,,,,,,21.63,45.67,30,2011-2012,Labour Force Survey - Statistics Canada,20,51.47,33,2012-2013,Labour Force Survey,22.5,57.69,34.87,2012-2013,Labour Force Survey,,,,,,,,,,
2011,1122,Professional occupations in business management consulting,HOUR,18,51.28,28.85,2012-2013,Labour Force Survey,18,51.28,28.85,2012-2013,Labour Force Survey,,,,,,,,,,,18,51.28,28.85,2012-2013,Labour Force Survey,,,,,,18,55,28.85,2012-2013,Labour Force Survey,,,,,,,,,,
2011,1123,"Professional occupations in advertising, marketing and public relations",HOUR,14,43.59,25,2012-2013,Labour Force Survey,14,43.59,25,2012-2013,Labour Force Survey,,,,,,,,,,,14,43.59,25,2012-2013,Labour Force Survey,14,43.27,26,2011-2012,Labour Force Survey - Statistics Canada,14,43.27,24.04,2012-2013,Labour Force Survey,,,,,,,,,,
2011,1211,"Supervisors, general office and administrative support workers",HOUR,16,31.28,22.5,2012-2013,Labour Force Survey,16,31.28,22.5,2012-2013,Labour Force Survey,,,,,,,,,,,15,30.77,22,2011-2012,Labour Force Survey - Statistics Canada,15,30.77,22,2011-2012,Labour Force Survey - Statistics Canada,15.82,26,21.63,2012-2013,Labour Force Survey,15,30.77,22,2011-2012,Labour Force Survey - Statistics Canada,,,,,
2011,1212,"Supervisors, finance and insurance office workers",HOUR,18.27,35.58,25,2012-2013,Labour Force Survey,18.27,35.58,25,2012-2013,Labour Force Survey,17.23,35.58,24.62,2011-2012,Labour Force Survey - Statistics Canada,,,,,,17.23,35.58,24.62,2011-2012,Labour Force Survey - Statistics Canada,,,,,,18.51,35.58,25.64,2012-2013,Labour Force Survey,,,,,,,,,,
2011,1213,"Supervisors, library, correspondence and related information workers",HOUR,15,29.81,18.46,2012-2013,Labour Force Survey,15,29.81,18.46,2012-2013,Labour Force Survey,,,,,,,,,,,,,,,,,,,,,15,29.81,18.46,2012-2013,Labour Force Survey,,,,,,,,,,
2011,1214,"Supervisors, mail and message distribution occupations",HOUR,16,30.77,22,2012-2013,Labour Force Survey,16,30.77,22,2012-2013,Labour Force Survey,,,,,,,,,,,15.5,31.06,27.68,2011-2012,Employment Insurance Data,,,,,,16,30.77,22,2012-2013,Labour Force Survey,15.5,31.06,27.68,2011-2012,Employment Insurance Data,,,,,
2011,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",HOUR,13.2,38,23,2012-2013,Labour Force Survey,14.5,41.35,21.75,2011-2012,Labour Force Survey - Statistics Canada,,,,,,,,,,,13.2,38,23,2012-2013,Labour Force Survey,13,31.56,16,2012-2013,Employment Insurance Data,14,39.28,23,2012-2013,Labour Force Survey,14.5,41.35,21.75,2011-2012,Labour Force Survey - Statistics Canada,,,,,
2011,1221,Administrative officers,HOUR,14.5,31,21,2012-2013,Labour Force Survey,14.08,29.13,21,2012-2013,Labour Force Survey,17.5,32,23,2012-2013,Employment Insurance Data,14.5,31,21,2012-2013,Labour Force Survey,14,30,19.5,2012-2013,Labour Force Survey,14.5,31,21,2012-2013,Labour Force Survey,15,32,21.43,2012-2013,Labour Force Survey,14,30.9724,20,2012-2013,Employment Insurance Data,10.25,40.0609,19.012,National Household Survey,2011
2011,1222,Executive assistants,HOUR,15,33.65,26.3,2012-2013,Labour Force Survey,15,33.65,26.3,2012-2013,Labour Force Survey,,,,,,,,,,,15,33.65,26.3,2012-2013,Labour Force Survey,15,33.65,26.3,2012-2013,Labour Force Survey,15,33.65,26.67,2012-2013,Labour Force Survey,,,,,,,,,,
2011,1223,Human resources and recruitment officers,HOUR,13.5,38.97,25,2012-2013,Labour Force Survey,13.5,38.97,25,2012-2013,Labour Force Survey,,,,,,,,,,,15.38,36.94,27,2011-2012,Labour Force Survey - Statistics Canada,,,,,,12,40.87,25,2012-2013,Labour Force Survey,,,,,,,,,,
2011,1224,Property administrators,HOUR,11,32,20,2012-2013,Labour Force Survey,11,32,20,2012-2013,Labour Force Survey,11,34.13,21,2011-2012,Labour Force Survey - Statistics Canada,,,,,,10.349,46.3834,27.865,2011,National Household Survey,11,34.13,21,2011-2012,Labour Force Survey - Statistics Canada,11.25,32.97,20.83,2012-2013,Labour Force Survey,11,32,20,2012-2013,Labour Force Survey,,,,,
2011,1225,Purchasing agents and officers,HOUR,14.06,36.06,25,2012-2013,Labour Force Survey,14.06,36.06,25,2012-2013,Labour Force Survey,14.06,34,25,2011-2012,Labour Force Survey - Statistics Canada,,,,,,17.092,41.9931,24.573,2011,National Household Survey,14.06,36.06,25,2012-2013,Labour Force Survey,14.06,36.71,25,2012-2013,Labour Force Survey,,,,,,,,,,
2011,1226,Conference and event planners,HOUR,13,31.32,24,2012-2013,Labour Force Survey,13,31.32,24,2012-2013,Labour Force Survey,,,,,,,,,,,13,31.32,24,2012-2013,Labour Force Survey,,,,,,11.25,30.68,24,2012-2013,Labour Force Survey,,,,,,,,,,
2011,1227,Court officers and justices of the peace,HOUR,21.906,54.6148,31.576,2011,National Household Survey,17.32,25.33,24.04,2006,2006 Census - Statistics Canada,,,,,,,,,,,,,,,,,,,,,22.795,59.6993,34.45,2011,National Household Survey,,,,,,,,,,
2011,1228,"Employment insurance, immigration, border services and revenue officers",HOUR,20,35.9,29.74,2012-2013,Labour Force Survey,20,35.9,29.74,2012-2013,Labour Force Survey,,,,,,,,,,,20,35.9,29.74,2012-2013,Labour Force Survey,,,,,,20,34.36,29.74,2012-2013,Labour Force Survey,20.87,46.07,35.7,2006,2006 Census - Statistics Canada,,,,,
2011,1241,Administrative assistants,HOUR,12,30.25,20.47,2012-2013,Labour Force Survey,12,30.25,20.47,2012-2013,Labour Force Survey,15,25.99,21,2012-2013,Employment Insurance Data,10.5,25,19.69,2012-2013,Employment Insurance Data,12,30.25,20.47,2012-2013,Labour Force Survey,13,24.46,20.28,2012-2013,Employment Insurance Data,12.69,32,21.43,2012-2013,Labour Force Survey,12,30.25,20.47,2012-2013,Labour Force Survey,12,25,21.77,Employment Insurance Data,2012-2013
2011,1242,Legal administrative assistants,HOUR,12.662,34.3439,23.246,2011,National Household Survey,12.087,29.5103,22.006,2011,National Household Survey,,,,,,,,,,,15,28.4281,21,2012-2013,Employment Insurance Data,10.25,27.47,19,2011-2012,Labour Force Survey - Statistics Canada,12.262,36.4651,26.121,2011,National Household Survey,,,,,,,,,,
2011,1243,Medical administrative assistants,HOUR,16,25,20,2011-2012,Labour Force Survey,16,25,20,2011-2012,Labour Force Survey - Statistics Canada,,,,,,,,,,,16.83,23.37,21.03,2011-2012,Labour Force Survey - Statistics Canada,,,,,,16,25,20,2011-2012,Labour Force Survey,,,,,,,,,,
2011,1251,"Court reporters, medical transcriptionists and related occupations",HOUR,15.5,22.5,20.55,2012-2013,Employment Insurance Data,15.5,22.5,20.55,2012-2013,Employment Insurance Data,,,,,,,,,,,15.5,22.5,20.55,2012-2013,Employment Insurance Data,,,,,,20,22.5,21.17,2012-2013,Employment Insurance Data,15,24,20.55,2011-2012,Employment Insurance Data,,,,,
2011,1252,Health information management occupations,HOUR,16,31.28,22.5,2012-2013,Labour Force Survey,16,31.28,22.5,2012-2013,Labour Force Survey,,,,,,,,,,,15,30.77,22,2011-2012,Labour Force Survey - Statistics Canada,15,30.77,22,2011-2012,Labour Force Survey - Statistics Canada,15.82,26,21.63,2012-2013,Labour Force Survey,15,30.77,22,2011-2012,Labour Force Survey - Statistics Canada,,,,,
2011,1253,Records management technicians,HOUR,10.8,30.77,19.25,2012-2013,Labour Force Survey,10.8,30.77,19.25,2012-2013,Labour Force Survey,,,,,,,,,,,,,,,,10.25,28.75,18,2011-2012,Labour Force Survey - Statistics Canada,10.8,35.34,19.87,2012-2013,Labour Force Survey,,,,,,,,,,
